from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20
1,GAB,3,GAB,234443.888792812,375.6815,6.65680555555555,56.4357028104071,100.0,225.4089,0.0,0.0,399.408333333333,225.4089,10310.5732421875,22364.046875,9.4520332711395,397772.593564483,Upgrade,336780.795884595,126.5223145691185,56.43570281040711,67.09559433515489,8.612809398644092,9.766013229630891,37.34811770827769,4.121219429731277,1.3845568470356928,0.20450337185991815,0.273494897327812,0.6031520563010838,0.4565196243333812,0.24136391139910982,0.4574786533123086,1.0764437830791564,0.1971793097545421,0.13980490740655935,0.1282023449030759,0.31432094669948674,1.059283688229696,0.11358000433583489,0.151058050089181,0.20858685632559468
2,GAB,4,GAB,48259.2005854514,57.539,1.1665277777777783,49.3250148827242,100.0,34.5234,0.0,0.0,69.9916666666667,34.5234,25234.94140625,355568.15625,1026.0552244142,654085.620701547,Upgrade,553792.492193977,31.86466620834924,49.32501488272411,88.32041574335658,11.24824289814232,12.327869280696609,3.66697075037135,9.586816352346892,49.91880607938842,1.3359100451193968,1.815168345765886,4.362124723866248,3.190562656516028,1.5568220337258623,2.791457004580042,2.301686870397754,1.1121988896203534,0.8122654752714908,0.7455547502012179,1.759502111083827,2.7507103292998716,0.6613740874060298,0.8516846790161451,1.1203953749612892
5,CMR,6,CMR,27144.7026991107,35.682,0.42694444444444496,83.5752765126871,100.0,21.4092,0.0,0.0,25.6166666666667,21.4092,87975.0078125,45126.58203125,206.885917857105,740490.506163646,Resurfacing,175249.419792063,6.253249797020392,83.57527651268695,88.320956806598,2.190869092285566,9.680080033575384,0.30091454522319083,53.12637300324444,0.48822802721801384,65.44932071538301,0.024215401817061312,2.4100853281357715,3.698364381472471,7.771859345122973,1.79092564487731,0.2685697336879971,0.0025648288480465404,0.5761793158256268,0.6402596135572026,0.4686059938389649,0.34468948451937015,0.6155946722109307,0.03379099933552986,0.0012183494962149585
5,CMR,7,NGA,357788.364718077,493.932,5.77819444444445,85.4820661971493,100.0,296.3592,1944.0346875,7592.57175,7939.26341666667,7888.93095,27761.794921875,1.015322375e6,297.154516514323,595593.674128547,Resurfacing,140957.169543756,69.6232566670865,85.48206619714917,85.48211216348923,3.7749971702978558,0.02761832959699751,0.03464695374231776,2.2747946324822976,0.13794188177293878,32.076040435086846,12.193685076905238,1.4484771645127792,2.212328046555747,9.326802443488807,0.4516108316302389,0.011099402926122093,3.334921050996883,4.487282083598566,4.2818574487334775,1.5301084622501497,0.005068574293274091,3.726179757360905,2.2164999102743135,1.4861508548593798
5,CMR,8,CMR,71615.5844900317,106.2785,1.6123611111111118,65.9148247049703,100.0,63.7671,0.0,0.0,96.7416666666667,63.7671,21207.6171875,1.095948375e6,1727.77423636841,669569.452880411,Mixed Works,360451.555467287,38.30825063773006,65.91482470497024,88.32067781832623,2.727558519495986,1.039600176755046,0.07957681907864918,12.798256730853133,0.08053014997707673,71.04893813438667,50.77644940605098,0.019458721082577707,0.020011210411540054,9.340791418954979,0.7713129282803733,0.08354557176530235,2.638746291786266,3.3266142979619158,3.125708943731798,1.2510463397062215,0.12064756400528417,2.694296639889095,1.7851198869639602,1.1426228842913155
8,CMR,9,CMR,51877.9666250696,64.862,0.895694444444445,72.4153202046829,100.0,38.9172,0.0,0.0,53.7416666666667,38.9172,4752.40625,1.1404265e6,2870.9366368129,584229.311973549,Mixed Works,314510.11294576,20.399754945887885,72.41532020468284,88.3207805089043,17.54818312705946,69.17878132485646,1.98341429334236,12.989856190030991,2.928314626585953,0.5551203998721337,57.295699437120085,11.243719847048753,17.526666179658275,4.1288264717759855,12.406312631077256,1.8262156753596424,1.6431560331032584,0.5061897879355949,0.3688714534317248,4.451190235360638,2.3426790348144038,0.2678671579681469,1.0266786453697874,1.5934662060485107
6,CMR,8,CMR,74888.4774409911,99.3025,1.2215277777777784,81.2936895963616,100.0,59.5815,0.0,0.0,73.2916666666667,59.5815,30787.623046875,946803.625,1591.03148193678,695312.25294577,Resurfacing,164557.233197165,16.34094464956148,81.29368959636152,88.32092076357954,6.455986646417164,8.504562713304239,0.37866405788753155,64.12020210235384,0.5028491897933434,9.794333711910253,50.59053047093746,1.1880511239572193,1.7403802805090574,22.39075100567795,2.85325228788692,0.3643750722826615,2.4767788159369184,1.7296862576018268,1.5213239325474153,2.3282349253737316,0.4949392798109057,1.2506087047575838,1.4470522193145268,1.162956944949226
6,CMR,9,CMR,109718.392696023,153.232,1.8738888888888832,81.7721909279573,100.0,91.9392,0.0,0.0,112.433333333333,91.9392,22228.517578125,37796.69140625,43.0604433107404,492926.613179841,Resurfacing,116659.298452562,17.875937620482983,81.77219092795755,88.32092832263075,3.99481242548976,42.796093405219686,0.9230133833953829,32.221383263544915,1.4738224411506387,21.543816453489526,0.052008041843834195,7.513061399948485,12.058262940945268,12.11575528775634,4.934099162042061,0.8207624182770332,0.14039892027758305,0.6051292829539671,0.6511254151537438,0.5027092017497401,1.0042385623931036,0.5996721131323249,0.059141385996381454,0.05026196728857124
10,GNQ,11,CMR,120387.388709017,293.0025,5.715416666666667,51.2652912444412,100.0,175.8015,1701.2890625,8206.5,8549.425,8382.3015,31886.25,94966.7109375,52.1217373838285,522985.212933671,Upgrade,442794.146950508,129.73979204186622,51.2652912444412,88.32044639457405,1.7980618049703152,5.459658170080461,2.006462876733146,1.0005492158185394,3.6163667481242534,4.969303087709771,8.510552179832214,46.80326829685927,66.42797175873305,4.051451378286572,2.308590429076217,1.6583551130196847,0.46414137467339367,0.44704689740424697,0.41587064426529413,0.5252187249468665,1.713632386776127,0.35580112478414555,0.20910486595314137,0.015408962580381057
10,GNQ,12,GNQ,138912.98681351,177.5555,1.6233333333333335,109.377104722793,109.377104722793,97.4,0.0,0.0,97.4,97.4,37873.453125,56312.3125,50.4294961554627,532429.468445389,Nothing,0.0,0.0,109.3771047227926,109.37716353823092,24.8539520405751,14.02841478268857,2.4721785935952716,10.453499712578335,4.580854588040639,3.4104331705586386,5.112453438572025,48.746880673991754,17.02806185034012,2.1502525817999443,1.2742783379777138,2.0627538708348903,0.16453619642766465,0.004165608801767933,0.021338309807833526,0.6953255594603952,2.3084661229694396,0.02342804597299996,0.19914238970142628,0.5234289618986671
