from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20
1,GAB,3,GAB,234443.888792812,375.6815,6.65680555555555,56.4357028104071,100.0,225.4089,0.0,0.0,399.408333333333,225.4089,10310.5732421875,22364.046875,9.4520332711395,397772.593564483,Upgrade,336780.795884595,126.5223145691185,56.43570281040711,56.43576355940513,1.6644055454962166,2.5092453910382813,50.22003689723966,0.3238052774778007,0.11035761113712571,0.012420323185483917,0.018047709070658623,0.03594221263022657,0.03428865222633471,0.013519254171817107,0.02179629175757018,0.07217499146264893,0.006291157803190644,0.003961465997337014,0.003336209326978908,0.013423371322844891,0.03282651165131886,0.002314359710002719,0.002374423929270089,0.004427303783451382
2,GAB,4,GAB,48259.2005854514,57.539,1.1665277777777783,49.3250148827242,100.0,34.5234,0.0,0.0,69.9916666666667,34.5234,25234.94140625,355568.15625,1026.0552244142,654085.620701547,Upgrade,553792.492193977,31.86466620834924,49.32501488272411,87.82550124786113,4.58463993893081,6.617202290299509,1.0213546375428206,3.369097281876151,62.73970300442698,0.34247236129046577,0.5479780419888304,1.4110682183349756,1.3039760874113946,0.37208535159051653,0.6219715786600131,0.4046266029652148,0.14135185363136976,0.08751101382849097,0.07291627682480631,0.32212599185723,0.33167892332119364,0.04926390350056898,0.049204727899327186,0.0845614115696164
5,CMR,6,CMR,27144.7026991107,35.682,0.42694444444444496,83.5752765126871,100.0,21.4092,0.0,0.0,25.6166666666667,21.4092,87975.0078125,45126.58203125,206.885917857105,740490.506163646,Resurfacing,175249.419792063,6.253249797020392,83.57527651268695,87.82658337434398,2.832604357665773,7.155949631140182,0.5653246496286348,49.5322197263118,0.7412535504833109,62.28709413094956,0.0537735031323995,2.4895250338299717,3.646475038907068,7.836648928039322,2.307641152995194,0.5055103739854215,0.053687899313251915,1.033732821824572,1.0682546958280073,0.6529945018753028,0.5169253297557347,0.8525947582383597,0.044086001641316985,0.12057543487383328
5,CMR,7,NGA,357788.364718077,2437.9666875000003,5.77819444444445,85.4820661971493,100.0,296.3592,1944.0346875,7592.57175,7939.26341666667,7888.93095,27761.794921875,1.015322375e6,297.154516514323,595593.674128547,Resurfacing,140957.169543756,69.6232566670865,85.48206619714917,85.4821582124801,0.4137576035866017,1.911998853411673,1.9035593778402038,4.332682626467971,2.5200719611595424,28.276116597082435,14.6037302606569,6.200919973106659,7.103059734142237,4.126354562436212,2.523289800645115,1.67630855369837,1.078845062517324,2.679006327137772,2.630193773663828,0.2527813640200328,1.634370674587444,1.9954922485013058,0.3337971981613601,0.13714186174544288
5,CMR,8,CMR,71615.5844900317,106.2785,1.6123611111111118,65.9148247049703,100.0,63.7671,0.0,0.0,96.7416666666667,63.7671,21207.6171875,1.095948375e6,1727.77423636841,669569.452880411,Mixed Works,360451.555467287,38.30825063773006,65.91482470497024,87.82602539780041,0.5628083339224149,4.9231817830390785,1.4486673822085547,2.1514124061556483,1.9568295767132262,55.95389357702988,70.43970623500249,5.497069751569629,6.531669852400884,2.0794959016348495,1.9393586417805126,1.2641106817730732,0.5707563344319422,1.3238377069271352,1.3089165741085051,0.28100872067201393,1.2241446765192454,0.9998750264535752,0.1826474532559327,0.12441023340661975
8,CMR,9,CMR,51877.9666250696,64.862,0.895694444444445,72.4153202046829,100.0,38.9172,0.0,0.0,53.7416666666667,38.9172,4752.40625,1.1404265e6,2870.9366368129,584229.311973549,Mixed Works,314510.11294576,20.399754945887885,72.41532020468284,87.82623077895656,10.912531386604654,50.017566915597584,1.9044078818295536,3.4600265786720383,2.6790480809199604,14.946983765377754,75.06411143090216,12.402022460141932,19.182986072881988,0.02315689732362657,7.242185674663033,1.6438637991712792,0.09607464081534706,0.7684595801987119,0.8791185717658182,2.0251717431938183,1.6213652738716864,0.7587186142513508,0.000873917330054687,0.3993855661894974
6,CMR,8,CMR,74888.4774409911,99.3025,1.2215277777777784,81.2936895963616,100.0,59.5815,0.0,0.0,73.2916666666667,59.5815,30787.623046875,946803.625,1591.03148193678,695312.25294577,Resurfacing,164557.233197165,16.34094464956148,81.29368959636152,87.82651128830705,0.5987990227420795,0.25653162282258707,0.15489881303720737,48.18109773703067,0.22293175350321076,1.6427504523748298,71.79892840899731,0.40605307129722495,0.22825603620130738,13.218396642140025,0.03771881780083871,0.12800632138257811,0.3406022749194542,0.1264333044507241,0.1125118253273014,0.06341344193700996,0.10890215194289687,0.0767860562412419,0.07119340402171709,0.0005384050671765233
6,CMR,9,CMR,109718.392696023,153.232,1.8738888888888832,81.7721909279573,100.0,91.9392,0.0,0.0,112.433333333333,91.9392,22228.517578125,37796.69140625,43.0604433107404,492926.613179841,Resurfacing,116659.298452562,17.875937620482983,81.77219092795755,87.82652640640944,5.717540895991553,37.80262237443338,2.330285651667841,28.283424041280142,3.289929434737704,16.308303080037135,0.007811129601605845,13.492511526509324,19.16418084019861,13.67346752804998,5.46754873367793,1.9979513037429273,0.07663303983751726,0.969698130964787,1.011055346197154,1.2167630119628123,1.9277765596656478,0.8053482473484126,0.0641508609243115,0.3270512040734889
10,GNQ,11,CMR,120387.388709017,1994.2915625,5.715416666666667,51.2652912444412,100.0,175.8015,1701.2890625,8206.5,8549.425,8382.3015,31886.25,94966.7109375,52.1217373838285,522985.212933671,Upgrade,442794.146950508,129.73979204186622,51.2652912444412,87.8246470938679,6.737703533890436,8.482183486081414,5.147227796562162,0.9209910350991295,7.942814552966007,7.545099822412988,11.798904678635916,63.667321353775016,170.55859515338184,6.334157245189666,3.302709441524093,4.077968446958147,0.8787268856047677,1.181457395352717,1.1370271420608036,0.6346293922738281,3.3089383906830983,0.8588191664632895,0.281778493323765,0.14848843435393808
10,GNQ,12,GNQ,138912.98681351,177.5555,1.6233333333333335,109.377104722793,109.377104722793,97.4,0.0,0.0,97.4,97.4,37873.453125,56312.3125,50.4294961554627,532429.468445389,Nothing,0.0,0.0,109.3771047227926,109.37722245942362,10.485346992052104,2.1447643914373242,5.1560113971170685,0.2506526073362454,7.961710589483618,7.447146455218914,11.472025300742724,77.74126539181648,47.3184049053809,6.229607405252002,3.0894254374093175,4.084724431576091,0.863987566668879,1.1729104133810555,1.1301733776087377,0.5908630436013514,3.316615093782767,0.8545900780066801,0.27790661914109427,0.15378014281532587
