from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20
1,GAB,3,GAB,234443.888792812,375.6815,6.65680555555555,56.4357028104071,100.0,225.4089,0.0,0.0,399.408333333333,225.4089,10310.5732421875,22364.046875,9.4520332711395,397772.593564483,Upgrade,336780.795884595,126.5223145691185,56.43570281040711,67.5568799481498,8.697014880234242,9.867608861191087,36.71510839992369,3.824271036196329,1.3944500604480057,0.19640459831551715,0.26313538782206597,0.5761671043480204,0.42997854255602713,0.23130741743685101,0.43459042180601654,1.0091844396594303,0.1840702316226274,0.12993371166817802,0.11760854912278731,0.2945403898280485,1.002972254945694,0.10424442098023808,0.1352650219322903,0.1898414012689903
2,GAB,4,GAB,48259.2005854514,57.539,1.1665277777777783,49.3250148827242,100.0,34.5234,0.0,0.0,69.9916666666667,34.5234,25234.94140625,355568.15625,1026.0552244142,654085.620701547,Upgrade,553792.492193977,31.86466620834924,49.32501488272411,88.56910862222188,10.572212191989117,12.32115697486187,3.8711713286030363,8.48984132265573,48.07617660135528,1.2680850192456097,1.7213748641165683,4.154330130568065,2.9675673661340416,1.468002313554744,2.5264140387849228,2.25657251593706,1.0267454998237844,0.7488332335912866,0.6819514225973455,1.601636643398147,2.6726296160925607,0.6018969580938079,0.7557473676123834,1.0051878158684582
5,CMR,6,CMR,27144.7026991107,35.682,0.42694444444444496,83.5752765126871,100.0,21.4092,0.0,0.0,25.6166666666667,21.4092,87975.0078125,45126.58203125,206.885917857105,740490.506163646,Resurfacing,175249.419792063,6.253249797020392,83.57527651268695,88.57019074870473,2.451204074662681,9.658281919475417,0.29643213906243543,52.92463326249381,0.4559457263283038,66.0758512649256,0.006801966415144628,2.2225455957197133,3.6093811946716556,8.981096686238564,1.8761601812525117,0.2595989690698215,0.0067819633293998245,0.49110087946453784,0.6245691317838817,0.556713149788344,0.3371131042426073,0.5299624069041352,0.02064266469746979,0.010953784948274595
5,CMR,7,NGA,357788.364718077,2437.9666875000003,5.77819444444445,85.4820661971493,100.0,296.3592,1944.0346875,7592.57175,7939.26341666667,7888.93095,27761.794921875,1.015322375e6,297.154516514323,595593.674128547,Resurfacing,140957.169543756,69.6232566670865,85.48206619714917,85.48215820237644,3.216376053283327,0.04422008784958368,0.04117353056454208,1.94185739661834,0.14219798618471444,27.070388471362364,10.833843564508015,1.3318890029795198,2.1024452480491176,6.717211134128794,0.31827926885820723,0.01381018457117326,3.0625430753566776,4.193593100543816,4.195332322530178,1.3440066283849985,0.0027037153706530744,3.394988082794272,2.0104023644310223,1.3743223103864273
5,CMR,8,CMR,71615.5844900317,106.2785,1.6123611111111118,65.9148247049703,100.0,63.7671,0.0,0.0,96.7416666666667,63.7671,21207.6171875,1.095948375e6,1727.77423636841,669569.452880411,Mixed Works,360451.555467287,38.30825063773006,65.91482470497024,88.56963277216116,2.525506061625307,1.0346516275452042,0.0745971989589877,12.86255037654771,0.06809912522941036,71.46932271074685,50.48554676438208,0.016761721273505253,0.025695134418255584,8.554730267847471,0.7333154084675794,0.07931595691056262,2.4024196077937923,3.1489631533515268,3.0712439568365575,1.1645991831602978,0.11701890487454093,2.4851882644602106,1.6269662702417544,1.0559126343643794
8,CMR,9,CMR,51877.9666250696,64.862,0.895694444444445,72.4153202046829,100.0,38.9172,0.0,0.0,53.7416666666667,38.9172,4752.40625,1.1404265e6,2870.9366368129,584229.311973549,Mixed Works,314510.11294576,20.399754945887885,72.41532020468284,88.5698381533173,17.616925621703093,69.407584663218,1.9287218539651911,13.01628634107347,2.695185968024685,0.6210214903690999,57.21613653061362,10.484239368727309,17.619652555302594,4.251989758737398,12.45317773555093,1.7527964165883667,1.724185693515853,0.5152324599431648,0.3337807013385147,4.500644890814643,2.2829096800348037,0.255501462524208,0.9661217236355332,1.5437115573463802
6,CMR,8,CMR,74888.4774409911,99.3025,1.2215277777777784,81.2936895963616,100.0,59.5815,0.0,0.0,73.2916666666667,59.5815,30787.623046875,946803.625,1591.03148193678,695312.25294577,Resurfacing,164557.233197165,16.34094464956148,81.29368959636152,88.5701186626678,6.414179147017898,8.504564599376984,0.36560911313200184,64.27380421262163,0.45304269551544646,9.550698559232961,50.714750478551856,1.091785436103125,1.7607330918737787,22.393434454424053,2.8503994584039765,0.34994435658264506,2.501174071059864,1.6880259185536464,1.487334240769673,2.3250504563856755,0.4830291867491051,1.1793987680350713,1.361519061713191,1.1648413994027496
6,CMR,9,CMR,109718.392696023,153.232,1.8738888888888832,81.7721909279573,100.0,91.9392,0.0,0.0,112.433333333333,91.9392,22228.517578125,37796.69140625,43.0604433107404,492926.613179841,Resurfacing,116659.298452562,17.875937620482983,81.77219092795755,88.57013378077019,4.068128174494223,42.98167403863279,0.9016474641599777,32.390173759308084,1.3756784249113378,21.428803493321517,0.04062442383845394,7.049611426969052,12.078654646528022,11.878832560108902,4.969070060431452,0.7865920568300743,0.11929530112179228,0.5628799356052152,0.6862095038982163,0.5234790660407853,0.9763798483672981,0.5614244473715639,0.055970565111521146,0.03939907758422851
10,GNQ,11,CMR,120387.388709017,1994.2915625,5.715416666666667,51.2652912444412,100.0,175.8015,1701.2890625,8206.5,8549.425,8382.3015,31886.25,94966.7109375,52.1217373838285,522985.212933671,Upgrade,442794.146950508,129.73979204186622,51.2652912444412,88.5691699246568,1.5920460730555237,5.391326722656364,2.0273434305515226,1.2565610986466518,3.6964578289399106,4.6399673552837895,7.870405849460285,40.02478685413407,53.46993809264058,3.85140429242362,2.336137156519336,1.6081562783142942,0.5071387911301004,0.4563239485121158,0.46107245627150956,0.6191191958721006,1.6150917369475308,0.3591120826104875,0.24094778836748568,0.016200214667092573
10,GNQ,12,GNQ,138912.98681351,177.5555,1.6233333333333335,109.377104722793,109.377104722793,97.4,0.0,0.0,97.4,97.4,37873.453125,56312.3125,50.4294961554627,532429.468445389,Nothing,0.0,0.0,109.3771047227926,109.37722244649567,25.822053117329165,11.746000415311183,2.491627055955269,9.061311616492533,4.585878160198698,3.1468550625968126,4.639948808566553,45.70539700226193,14.16437595271761,2.039918507732537,1.0596925129466026,2.0003762853064133,0.09827936911019056,0.03563040359783168,0.08713649137747785,0.54689998393994,2.2027040793590875,0.05339740246061277,0.12571424974635387,0.44505808968063193
7,NGA,13,CMR,273548.991091695,2318.8086875,5.61,66.8046345811052,100.0,224.8644,1944.0346875,7592.57175,7929.17175,7817.43615,109980.4453125,849380.3125,350.345102248004,712449.509362697,Mixed Works,383535.319206918,143.7390657204535,66.80463458110516,66.80470648362063,0.5783804006169868,1.2450955559127728,0.04549277698970073,0.021652471574792633,0.07835252350067082,9.074158117277102,1.1637341735785791,0.17665333053669305,0.16594751013607686,21.46198664586384,0.7792999983062049,0.034515266308889334,0.4195005479377686,2.0702839919695912,2.3314799219644016,0.06315535654980196,0.029539217873127993,1.9411723763293767,0.48160845455461615,0.1758653507549743
