from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20
1,GAB,2,GAB,144514.153396232,152.625,24.74138888888883,6.1688129427747,100.0,91.575,0.0,0.0,1484.48333333333,91.575,8439.5654296875,131034.515625,127.729218695731,480717.375007306,Upgrade,407007.377506186,62.11950099188164,6.168812942774717,95.53705645474781,5.850297066351354,5.874463669929638,62.72272375973613,2.4965324210196655,43.709756070233944,0.08328159563550215,0.11138714615928844,0.3310846791899169,0.22782532026869098,0.07036588769187453,0.019492070608217595,2.5646496637887584,0.05615687614790698,0.0280118871984739,0.02923820563763691,0.0524800603512518,1.930844273144949,0.029664661025631898,0.06499837288111572,0.1298711393942206
1,GAB,3,GAB,234443.888792812,375.6815,6.65680555555555,56.4357028104071,100.0,225.4089,0.0,0.0,399.408333333333,225.4089,10310.5732421875,22364.046875,9.4520332711395,397772.593564483,Upgrade,336780.795884595,126.5223145691185,56.43570281040711,86.20542816173443,11.934100781657929,13.06743925679084,33.6873159034752,5.791575186392418,10.734406628429898,0.14028814028299624,0.1847013274902329,0.35508410083884656,0.2479768845215656,0.19665006247830438,0.4812749927694867,3.2925015459359384,0.2668533246688015,0.17879830848122275,0.16777665197862515,0.3888915756703866,2.7583102809420113,0.15190139983041503,0.2259926239160419,0.3461769890463645
2,GAB,4,GAB,48259.2005854514,57.539,1.1665277777777783,49.3250148827242,100.0,34.5234,0.0,0.0,69.9916666666667,34.5234,25234.94140625,355568.15625,1026.0552244142,654085.620701547,Upgrade,553792.492193977,31.86466620834924,49.32501488272411,95.538545095897,10.628454219404997,12.975006915200822,10.174452591821538,9.867410108968144,44.76674958561279,1.4460967805923066,1.9311870301658307,4.757980364303734,3.2294047401680266,1.6960060386819589,3.031201396147052,0.5715293317065337,1.1435731548202273,0.841153174648884,0.7693424830996596,1.8569130372025395,1.746738658871437,0.675348642796083,0.8516484155295528,1.0794312072432901
5,CMR,6,CMR,27144.7026991107,35.682,0.42694444444444496,83.5752765126871,100.0,21.4092,0.0,0.0,25.6166666666667,21.4092,87975.0078125,45126.58203125,206.885917857105,740490.506163646,Resurfacing,175249.419792063,6.253249797020392,83.57527651268695,95.53910459954542,2.374946612541106,10.271509647527418,0.3641611015969271,55.75797482143336,0.4686163451062551,68.94900038084758,0.00892977902801516,2.1576172521707737,3.3082774034987468,8.481132201311176,1.8516290354501221,0.2652107419239613,0.0003639660688222094,0.5420484276454812,0.6174296950049973,0.5269309537252065,0.3437211200077755,0.6011060999667885,0.020668730228120488,0.006552134243939206
5,CMR,7,NGA,357788.364718077,493.932,5.77819444444445,85.4820661971493,100.0,296.3592,1944.0346875,7592.57175,7939.26341666667,7888.93095,27761.794921875,1.015322375e6,297.154516514323,595593.674128547,Resurfacing,140957.169543756,69.6232566670865,85.48206619714917,85.48215818617581,3.810442078812542,0.01537521149180612,0.03609493277504636,2.313567017553666,0.07981905933545982,31.97054042906529,12.171653147701946,1.2789497292332361,2.0204442967464042,9.19837414369525,0.4984387056498893,0.0008787176350739243,3.4069794390954637,4.527630860911437,4.346945925666716,1.5349334118243407,0.020223551910841988,3.7835368974365275,2.262757117443599,1.5137869011131002
5,CMR,8,CMR,71615.5844900317,106.2785,1.6123611111111118,65.9148247049703,100.0,63.7671,0.0,0.0,96.7416666666667,63.7671,21207.6171875,1.095948375e6,1727.77423636841,669569.452880411,Mixed Works,360451.555467287,38.30825063773006,65.91482470497024,95.53881610285228,2.882291882646215,1.1364210577919687,0.10265307491915297,13.641434936722943,0.11085649679404638,74.96090779548656,51.50412918326546,0.027199192546536667,0.016696330670770546,9.712016702784739,0.8421943743156545,0.09223087764613447,2.6957166739410034,3.3958000937975146,3.206871372834968,1.2979557073268708,0.13240591998980147,2.7618322655387204,1.8338003758482766,1.169886309585484
8,CMR,9,CMR,51877.9666250696,64.862,0.895694444444445,72.4153202046829,100.0,38.9172,0.0,0.0,53.7416666666667,38.9172,4752.40625,1.1404265e6,2870.9366368129,584229.311973549,Mixed Works,314510.11294576,20.399754945887885,72.41532020468284,95.5389222933097,18.065436153247173,73.65172023026969,2.4068383546815157,13.85807406904318,2.9864287956822193,0.4747376983650228,58.27340209479293,10.25182782074311,15.551945473437423,4.563976429709449,12.802559892237053,1.817550843341244,1.736529331017404,0.5479181260790833,0.40041128948938237,4.61235609178516,2.3909712995789074,0.2883790202116719,1.082079045811192,1.6279197513488994
6,CMR,8,CMR,74888.4774409911,99.3025,1.2215277777777784,81.2936895963616,100.0,59.5815,0.0,0.0,73.2916666666667,59.5815,30787.623046875,946803.625,1591.03148193678,695312.25294577,Resurfacing,164557.233197165,16.34094464956148,81.29368959636152,95.53906732811615,6.862411095568015,9.07758977603211,0.4699554780807151,67.48426942672248,0.5587961703177668,10.361684471889285,51.684847961738306,1.1259532831603314,1.537189818012247,23.61608849834827,3.02313745763747,0.37814708731234786,2.6687011087096053,1.8159534850676036,1.5986646603507393,2.4631091312776046,0.5155032766497543,1.3081753771012201,1.5513074115861512,1.250105286040127
6,CMR,9,CMR,109718.392696023,153.232,1.8738888888888832,81.7721909279573,100.0,91.9392,0.0,0.0,112.433333333333,91.9392,22228.517578125,37796.69140625,43.0604433107404,492926.613179841,Resurfacing,116659.298452562,17.875937620482983,81.77219092795755,95.5390751447934,3.8472588860660193,45.565782421469514,1.0974797372441805,34.14790788057006,1.4082007764596554,22.371020334381207,0.04047769008026655,6.737054842320955,10.752536901541783,12.54168800301679,4.941554788318972,0.7864686128311935,0.17686600293422547,0.6276500140782652,0.6766872508340891,0.47596001176807967,1.0032100171151552,0.6234447448970718,0.07564254932489789,0.03323407999620372
10,GNQ,11,CMR,120387.388709017,293.0025,5.715416666666667,51.2652912444412,100.0,175.8015,1701.2890625,8206.5,8549.425,8382.3015,31886.25,94966.7109375,52.1217373838285,522985.212933671,Upgrade,442794.146950508,129.73979204186622,51.2652912444412,95.5385316939533,1.9626140728509884,3.407830123107693,2.4571731939933774,0.5879549179681834,3.3403578751103478,4.468209753299961,7.428230785118273,44.39393546294103,45.00970165712797,3.484671105855366,1.9421844863371898,1.5113966121266245,0.4303833518696333,0.4475780319371198,0.4131156587988033,0.4595897266215768,1.5703946724892779,0.35060505234131184,0.19413087923222408,0.005809846115420167
