lon,lat,iso3c,city_country,city_port,population,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,product,uj_orig,Lj_orig,Cj_orig,Dj_orig,PCj_orig,uj,Lj,Cj,Dj,PCj,Lj_1,Dj_1,Yj_1,Pj_1,Lj_2,Dj_2,Yj_2,Pj_2,Lj_3,Dj_3,Yj_3,Pj_3,Lj_4,Dj_4,Yj_4,Pj_4,Lj_5,Dj_5,Yj_5,Pj_5,Lj_6,Dj_6,Yj_6,Pj_6,Lj_7,Dj_7,Yj_7,Pj_7,Lj_8,Dj_8,Yj_8,Pj_8,Lj_9,Dj_9,Yj_9,Pj_9,Lj_10,Dj_10,Yj_10,Pj_10,Lj_11,Dj_11,Yj_11,Pj_11,Lj_12,Dj_12,Yj_12,Pj_12,Lj_13,Dj_13,Yj_13,Pj_13,Lj_14,Dj_14,Yj_14,Pj_14,Lj_15,Dj_15,Yj_15,Pj_15,Lj_16,Dj_16,Yj_16,Pj_16,Lj_17,Dj_17,Yj_17,Pj_17,Lj_18,Dj_18,Yj_18,Pj_18,Lj_19,Dj_19,Yj_19,Pj_19,Lj_20,Dj_20,Yj_20,Pj_20
8.781525,-0.719322,GAB,port-gentil - GAB,true,185.490928624373,69.2332287468298,6.17395678939021e8,1.28421358919131e7,GAPOG,Port Gentil,AI,148.5669,3,32.47692935568252,185.490928624373,18741.895685982676,18889.359215249457,0.22499982290153972,32.500957825530634,185.490928624373,18761.708012188585,18903.45581897825,0.22492850820184718,0.0,17.22561877231186,0.0,1.4195180459237604,0.0,19.53202643344574,0.0,1.3733452858174715,185.490928624373,18264.415056330337,18339.111191913096,0.2269733572005408,0.0,8.242438838890076,0.0,1.723386895791178,0.0,2.769113678632186,0.0,2.2963845495309645,0.0,0.409006734386367,0.0,3.798623830580307,0.0,0.5469897845801274,0.0,3.5188676242031596,0.0,1.2063041001954955,0.0,2.8576832345793903,0.0,0.9130392371369621,0.0,3.0750175899211185,0.0,0.4827278130487033,0.0,3.636522871045028,0.0,0.9149572950884477,0.0,3.0733198911979875,0.0,2.1528875517086905,0.0,2.45365156439672,0.0,0.3943586102647654,0.0,3.835257087526914,0.0,0.27960980636859434,0.0,4.198500431926633,0.0,0.2564046815519801,0.0,4.295323716861813,0.0,0.6286418829477401,0.0,3.392359351055709,0.0,2.118567362070747,0.0,2.4640498350557642,0.0,0.22716000067640332,0.0,4.43441618872707,0.0,0.3021160915600355,0.0,4.113831024897428,0.0,0.4171737032690322,0.0,3.7789112470472186
9.45433,0.392626,GAB,libreville - GAB,true,1114.6179205292,64.2533405221019,3.44308748000557e9,7.16179247997998e7,GALBV,Libreville,AI,414.22200003,5,27.4226626061306,1114.6179205292,88443.59273420801,88587.07960530237,0.24191751277188253,27.465941920004298,1114.6179205292,88643.06654700395,88777.89809880032,0.24175406586509424,0.0,22.496485779691454,0.0,2.1366806806226,0.0,24.655738544394964,0.0,2.0857634916485392,0.0,7.3339414883880485,0.0,2.869715857150935,0.0,19.173632688784014,0.0,2.2284632987005164,1114.6179205292,86844.30128859522,86944.1388009098,0.2431590881395837,0.0,2.6718200807670964,0.0,3.7431875760639985,0.0,3.6303366812642754,0.0,3.4530655983013694,0.0,8.724249434800365,0.0,2.741569482187437,0.0,6.381125301121688,0.0,2.9767626302637917,0.0,3.1136440575907978,0.0,3.5954367671850065,0.0,5.582913997661286,0.0,3.083308106630715,0.0,4.603373729865918,0.0,3.243885608016043,0.0,2.2243977702149875,0.0,3.9281456283563836,0.0,1.6245309422336738,0.0,4.266822185298033,0.0,1.4911094922784243,0.0,4.364142011972395,0.0,3.5190042119839724,0.0,3.481485546114901,0.0,5.501420647145355,0.0,3.0952624091382743,0.0,1.3227481669401917,0.0,4.503929694300153,0.0,1.7033693496187094,0.0,4.213941806152228,0.0,2.2407907408794023,0.0,3.920562746662841
10.6900301,-1.61629,GAB,,false,0.0,23.1045476307667,0.0,0.0,,,,0.0,1,15.96254951287353,1.0e-6,3.6628197778620686e-5,69.09084079456083,0.5172778576782552,4.656012870091388,1.0e-6,6.300920501604959e-6,71.87396213233409,0.5228856919431959,1.0e-6,13.550483012200754,2.3104547630766697e-5,0.8111391916678699,0.0,20.704172626502835,0.0,0.7255163433236959,0.0,3.5217355644712662,0.0,1.1563648191638225,0.0,2.240265274093685,0.0,1.302549271468251,0.0,0.3979918213097632,0.0,2.0524591204471303,0.0,0.042186813670001405,0.0,3.704878050177265,0.0,0.0577870147025584,0.0,3.4104559185506256,0.0,0.1410461326467076,0.0,2.6966872442379026,0.0,0.10224300437871076,0.0,2.934952031021194,0.0,0.050441494865707405,0.0,3.5346783420406678,0.0,0.10248757662887932,0.0,2.9331072887690435,0.0,0.28617165586761206,0.0,2.238572888823575,0.0,0.0405687620564277,0.0,3.7432053157731495,0.0,0.028152176764038504,0.0,4.120989573673036,0.0,0.025698086067702453,0.0,4.22109887642716,0.0,0.06731959651892067,0.0,3.2761373764841433,0.0,0.28035996253978956,0.0,2.2506923819278963,0.0,0.022633250183890816,0.0,4.364552397717,0.0,0.030550875099211356,0.0,4.033261034143513,0.0,0.043092149470972015,0.0,3.684234142539856
9.8881998,0.40386,GAB,,false,0.0,24.3959108720963,0.0,0.0,,,,0.0,1,11.106489309552288,1.0e-6,2.181620405341708e-5,82.33505907749826,0.7127013087770937,2.4890464489733977,1.0e-6,2.5754876418189052e-6,85.16649668340617,0.690271594714936,1.0e-6,4.877679962652919,2.4395910872096302e-5,1.4651318338866908,0.0,6.077836491337029,0.0,1.3827247223624892,0.0,0.6538113835794329,0.0,2.4862833005883647,0.0,3.421009156924687,0.0,1.6084907381318325,0.0,24.897807698935292,0.0,0.9540577171399276,0.0,0.1760162290462089,0.0,3.5117553352524298,0.0,0.2556303303492625,0.0,3.183295561036515,0.0,0.8458542239192367,0.0,2.3233692183575916,0.0,0.5364935261610279,0.0,2.6191038422029957,0.0,0.21161338668169388,0.0,3.3456009271318443,0.0,0.4464997975690874,0.0,2.7487660422724636,0.0,0.3457525403628414,0.0,2.940106166203497,0.0,0.14184784137745965,0.0,3.7169784206236613,0.0,0.09896130448028015,0.0,4.086360821155245,0.0,0.08987509993248492,0.0,4.191249969052478,0.0,0.2459253400106517,0.0,3.2158842726581813,0.0,0.43771894667464567,0.0,2.763170962509952,0.0,0.07864467700968686,0.0,4.3410905479624375,0.0,0.10440768118564868,0.0,4.029153426193435,0.0,0.1430666847836611,0.0,3.7086188559368063
9.4839201,4.6536598,CMR,kumba - CMR,false,274.251248922742,53.2280580739407,7.01803549561477e8,1.45978614045104e7,,,,0.0,6,21.08089674011338,274.251248922742,14945.717520987719,15663.541563489009,0.27078149516527966,21.0626476131417,274.251248922742,14927.23798088684,15692.157318117426,0.27088200746508445,0.0,6.476615469337477,0.0,2.105690380378369,0.0,17.336196351017282,0.0,1.6250498786495942,0.0,0.37338153685804,0.0,4.461681253407118,0.0,76.1066432476167,0.0,1.1010219355918986,0.0,0.5395119821813991,0.0,4.049796568521535,274.251248922742,14260.712905803131,14597.861404510477,0.2777871236766189,0.0,77.21395942960167,0.0,1.096844633492996,0.0,1.884298872914207,0.0,2.914065686188952,0.0,2.9320502353424596,0.0,2.5939842292365825,0.0,15.515740718123967,0.0,1.6731927961017579,0.0,2.9424470827737053,0.0,2.591569085982578,0.0,0.34784951019348415,0.0,4.545625552254843,0.0,1.3872198495005907,0.0,3.158642832829652,0.0,1.1689769288918934,0.0,3.3041785598703406,0.0,1.0317777725056023,0.0,3.4145373713414138,0.0,1.4953362213173509,0.0,3.0968720880987797,0.0,0.4582209812284005,0.0,4.2276398049363815,0.0,0.8325768807083175,0.0,3.6128351005732955,0.0,0.7951780382541825,0.0,3.6567962554213826,0.0,0.6894926307902112,0.0,3.7966396771570268
9.7191801,4.7216001,CMR,loum - CMR,false,146.202236536265,54.3337151641108,3.81900073911264e8,7.94371067631736e6,,,,0.0,4,20.132052798608832,146.202236536265,7460.179649889624,8486.543954073906,0.2761791327146118,20.105043181135894,146.202236536265,7445.8855532740445,8492.817464714097,0.27633806362604496,0.0,5.163318156634445,0.0,1.9399424389298097,0.0,25.319488676981504,0.0,1.2766488629497694,0.0,0.2297794158748587,0.0,4.400253968281034,146.202236536265,7570.601259815936,7943.710676317375,0.2848248812536771,0.0,0.3392167928401521,0.0,3.971552541895325,0.0,29.316245999216886,0.0,1.2283455619141899,0.0,47.907502668371315,0.0,1.0794194806432886,0.0,1.389760573643683,0.0,2.7402231137551576,0.0,2.379476073349865,0.0,2.3786342750776965,0.0,19.85398862298272,0.0,1.3610147169371773,0.0,2.1542096498807317,0.0,2.4417115101755806,0.0,0.21324321628171683,0.0,4.487593460275138,0.0,0.8041189493882904,0.0,3.1645898058810826,0.0,0.6167791859370242,0.0,3.3933662685572434,0.0,0.5432997873266353,0.0,3.5085539060800928,0.0,0.9602444660140004,0.0,3.0202165119863467,0.0,0.283935584649465,0.0,4.161896158726952,0.0,0.44169359453253143,0.0,3.7050229339520078,0.0,0.45396764184527505,0.0,3.678394649904607,0.0,0.4041154246565958,0.0,3.792738678645094
9.7883997,7.85706,NGA,,false,0.0,50.0506598617938,0.0,0.0,,,,0.0,1,12.393253770275356,1.0e-6,2.551475406790129e-5,80.9603914347497,0.6446836125292327,2.9109692299389045,1.0e-6,3.221134937116683e-6,79.10689745263089,0.6436028689745953,1.0e-6,2.0685678669786345,5.00506598617938e-5,1.6791019624119252,0.0,2.5535627170860904,0.0,1.5885622515874878,0.0,0.0492354552257725,0.0,4.4904049415743055,0.0,4.962006261710955,0.0,1.3337681661764185,0.0,0.06910740882106131,0.0,4.107110361571208,0.0,8.665139523962821,0.0,1.1517680243636772,0.0,2.2849683501257263,0.0,1.6357084871534784,0.0,0.2013262444046484,0.0,3.099789407995583,0.0,0.28705276485231374,0.0,2.8235125719746286,0.0,14.674768627700542,0.0,1.0026644601499892,0.0,0.4967796051267731,0.0,2.4440212432159685,0.0,0.04636767564233766,0.0,4.5618825277866755,0.0,0.3139714294934846,0.0,2.757689781502855,0.0,0.2811163480953431,0.0,2.8390827455441805,0.0,0.23984790152512814,0.0,2.9602121492399878,0.0,0.28636971465245215,0.0,2.825283294193923,0.0,0.06279181250190052,0.0,4.212010322826931,0.0,0.18074585202999363,0.0,3.189013930779295,0.0,0.1533609368260822,0.0,3.329919076696914,0.0,0.12299730220644105,0.0,3.5289804711415425
9.704361,4.048275,CMR,douala - CMR,true,4139.03799484283,66.7423419366737,1.32808899844846e10,2.76249089140684e8,CMDLA,Douala,AI,1089.38780006,7,27.2463640711061,4139.03799484283,325415.50857332774,325906.03475937305,0.2425871334856291,27.269907636823245,4139.03799484283,325817.28484506055,326329.58470717986,0.242497351592227,0.0,53.46345657119658,0.0,2.4039053954882394,0.0,157.44588841023437,0.0,1.8091591354047607,0.0,4.883310332760371,0.0,4.512618423014911,0.0,179.8166300261815,0.0,1.7470001638422337,0.0,7.023387924067536,0.0,4.101037945573617,0.0,160.57630287315064,0.0,1.7998103093332798,4139.03799484283,316239.11248412123,316556.4377429044,0.24451004263473836,0.0,24.902459372114738,0.0,2.939253573099938,0.0,38.57411532762311,0.0,2.6195272109403493,0.0,71.72073777688372,0.0,2.22505964824814,0.0,32.061755681597326,0.0,2.7501524938931867,0.0,4.548272631104089,0.0,4.597817476183441,0.0,13.517362271382108,0.0,3.4519625689238302,0.0,11.124980677241096,0.0,3.633517962893174,0.0,10.031808649926306,0.0,3.7337769554835933,0.0,16.06094299013366,0.0,3.29883850263268,0.0,5.916531748997464,0.0,4.290359110635296,0.0,8.425544996160252,0.0,3.9092262100741877,0.0,8.517701494201148,0.0,3.8980511636983612,0.0,7.7980920616915395,0.0,3.98965594505943
10.10923,3.81478,CMR,edea - CMR,false,84.274,56.9610281399214,2.30779778365141e8,4.80033368546373e6,,,,0.0,2,19.581741068910496,84.274,4133.267470494376,5003.903652233755,0.2794792006482359,19.480113598073437,84.274,4102.656891290022,5006.4958524526655,0.2801031127925195,0.0,6.093789626740488,0.0,1.6380612922046893,84.274,4470.589512319528,4800.333685463736,0.28857397570234466,0.0,0.16198216288729672,0.0,4.255145830549439,0.0,28.841397370793644,0.0,1.0880896077846043,0.0,0.25194245999186865,0.0,3.7881901073859585,0.0,3.5728260277309705,0.0,1.88516791759349,0.0,26.582906195615667,0.0,1.111691010651594,0.0,1.6071783742899841,0.0,2.3262269984140573,0.0,3.805301404810078,0.0,1.8541527768434782,0.0,3.80978892856766,0.0,1.8535777920949466,0.0,2.344412429255141,0.0,2.1062121219564527,0.0,0.14886586362451076,0.0,4.350758681270428,0.0,0.4685041601688012,0.0,3.217613254690478,0.0,0.33904632868748746,0.0,3.503446829277054,0.0,0.29853837020136387,0.0,3.6227414884609987,0.0,0.6835592140313488,0.0,2.913127196135908,0.0,0.20284865155973725,0.0,4.010537866158897,0.0,0.24537666555201787,0.0,3.8146060067098313,0.0,0.2719396169833727,0.0,3.712808277759219,0.0,0.25949029967794873,0.0,3.7588772504810257
9.765828,1.863912,GNQ,bata - GNQ,true,375.069860900754,61.9964934126871,1.11790685137612e9,2.32530161606311e7,GQBSG,Bata,RQ,454.067,8,34.604012937973735,375.069860900754,41491.80243392934,41851.532376402916,0.21896483761564925,34.68471094649958,375.069860900754,41630.1009402051,42007.69453192288,0.21874635401111506,0.0,46.111780444237866,0.0,1.3145014662246206,0.0,38.976145879733615,0.0,1.3739629508541875,0.0,0.9314314240649687,0.0,3.6704938573928714,0.0,22.908097834357257,0.0,1.5802087410379004,0.0,1.9289756681337622,0.0,3.030542124493758,0.0,3.117739821027681,0.0,2.6708435585396684,0.0,6.796197466224396,0.0,2.175649567302406,375.069860900754,39862.394962519495,40053.495160631064,0.22178477696931445,0.0,98.79981978382499,0.0,1.0756487570749143,0.0,3.802397578986733,0.0,2.534892775870299,0.0,7.165737517583231,0.0,2.145545126691887,0.0,0.8087975063233956,0.0,3.8094212267688614,0.0,1.2573551317492304,0.0,3.3918228824450427,0.0,0.8857625676726247,0.0,3.71937678633662,0.0,0.7890646596682068,0.0,3.8342634326819933,0.0,2.4410885563676934,0.0,2.848463405015398,0.0,1.1896674620848535,0.0,3.4415768768620874,0.0,0.6647461487834859,0.0,4.011214009063916,0.0,0.8164945019788937,0.0,3.799937973133011,0.0,1.016039988753733,0.0,3.5874650730175914
