from,from_ctry,to,to_ctry,sp_distance,distance,duration_90kmh,duration_65kmh,border_dist,border_time,total_dist,total_time_90kmh,total_time_65kmh,rugg,pop_wpop,pop_wpop_km2,cost_km
20,GAB,1,GAB,162206.8367611,206215.179141117,137.476786094078,190.352473053338,0,0,206215.179141117,137.476786094078,190.352473053338,6267.13671875,25705.90625,23.499331479248,449448.348382425
40,GAB,3,GAB,241324.904098506,306798.772009718,204.532514673145,283.198866470509,0,0,306798.772009718,204.532514673145,283.198866470509,22103.98828125,6430.2607421875,3.71741535244486,407389.826949478
10,GNQ,4,GAB,162919.60861372,207121.333149232,138.080888766155,191.188922906983,1632187.5,5862,1839308.83314923,6000.08088876616,6053.18892290698,58857.390625,47309.8515625,42.5120735451238,710859.5665286
22,CMR,6,CMR,124113.601300131,157786.866675977,105.191244450652,145.64941539321,0,0,157786.866675977,105.191244450652,145.64941539321,78592.2578125,21662.951171875,25.5331996550307,871335.305687584
16,GNQ,10,GNQ,148271.837859224,188499.475214815,125.666316809877,173.999515582906,0,0,188499.475214815,125.666316809877,173.999515582906,35392.453125,30044.166015625,30.1307042247411,650274.456999675
18,CMR,10,GNQ,136818.823151926,173939.142699055,115.959428466037,160.559208645281,1701289.0625,8206.5,1875228.20519905,8322.45942846604,8367.05920864528,57915.1875,29567.41015625,31.8864782506016,689403.967128934
16,GNQ,12,GNQ,77086.8293491119,98001.2596328496,65.3341730885664,90.4627011995535,0,0,98001.2596328496,65.3341730885664,90.4627011995535,10039.099609375,14751.669921875,28.4812905637034,441125.607954339
28,GAB,12,GNQ,81752.6215349407,103932.928054773,69.288618703182,95.9380874351751,1632187.5,5862,1736120.42805477,5931.28861870318,5957.93808743518,10175.7861328125,17082.79296875,31.108623678176,436897.795333306
45,CMR,13,CMR,118906.070754416,151166.480841383,100.777653894256,139.538290007431,0,0,151166.480841383,100.777653894256,139.538290007431,79843.140625,92700.671875,113.988900583566,937211.680643248
53,NGA,14,NGA,119299.180087683,151666.244681184,101.110829787456,139.999610474939,0,0,151666.244681184,101.110829787456,139.999610474939,117632.6640625,67953.078125,83.8738402563239,994667.237489648
21,GAB,16,GNQ,123034.94713667,156415.562814864,104.277041876576,144.38359644449,1632187.5,5862,1788603.06281486,5966.27704187658,6006.38359644449,61986.0703125,3107.97338867188,3.65934483888381,460565.876907908
45,CMR,23,CMR,103068.304051554,131031.769117511,87.3545127450073,120.952402262318,0,0,131031.769117511,87.3545127450073,120.952402262318,87854.453125,30627.72265625,43.8812233562552,837487.081557202
35,CMR,24,CMR,57494.956459318,73093.9150452154,48.7292766968103,67.4713061955835,0,0,73093.9150452154,48.7292766968103,67.4713061955835,25797.66015625,27312.41796875,69.8232105611553,631920.720444598
74,GAB,27,GAB,227074.416228149,288681.983792203,192.454655861468,266.475677346649,0,0,288681.983792203,192.454655861468,266.475677346649,31231.64453125,27320.3125,17.3548216569023,482493.632412998
29,GNQ,28,GAB,71539.0641156409,90948.3300258317,60.6322200172211,83.9523046392293,1632187.5,5862,1723135.83002583,5922.63222001722,5945.95230463923,12427.2412109375,22256.34375,46.0573631667212,462282.193580464
41,CMR,29,GNQ,60435.2406726871,76831.9278681812,51.2212852454541,70.9217795706288,1701289.0625,8206.5,1778120.99036818,8257.72128524545,8277.42177957063,9234.3984375,30271.68359375,73.3466792544567,496928.320653641
36,CMR,30,CMR,58829.8131800958,74790.9317881554,49.8606211921036,69.0377831890665,0,0,74790.9317881554,49.8606211921036,69.0377831890665,37563.90625,28285.0703125,70.5904883602789,741460.84234008
58,CMR,33,CMR,50587.5804223568,64312.4985815254,42.8749990543503,59.3653833060234,0,0,64312.4985815254,42.8749990543503,59.3653833060234,24741.96484375,1796146.375,5132.38445663633,1083518.05018984
54,CMR,38,CMR,114763.503981645,145899.99413707,97.2666627580467,134.676917664988,0,0,145899.99413707,97.2666627580467,134.676917664988,54830.04296875,21089.47265625,27.1141521958167,574192.314761381
40,GAB,39,GAB,191285.397184742,243183.04477898,162.122029852653,224.476656719058,0,0,243183.04477898,162.122029852653,224.476656719058,27612.8984375,4697.11474609375,3.57601312732313,417333.94409958
57,GAB,40,GAB,155788.117165923,198054.996514995,132.03666434333,182.819996783072,0,0,198054.996514995,132.03666434333,182.819996783072,14594.373046875,3450.3525390625,3.23096988754711,384024.118228917
56,CMR,41,CMR,111037.336833077,141162.880453118,94.1085869687451,130.304197341339,0,0,141162.880453118,94.1085869687451,130.304197341339,17155.08984375,41894.359375,55.1853159114402,521487.727471648
61,CMR,43,NGA,202834.174818002,257865.121663391,171.910081108927,238.0293430739,1944034.6875,7592.57175,2201899.80916339,7764.48183110893,7830.6010930739,121762.609375,42590.2421875,30.5792771505199,749447.040330732
57,GAB,47,GAB,149966.193668578,190653.526756238,127.102351170826,175.987870851912,0,0,190653.526756238,127.102351170826,175.987870851912,24493.548828125,4010.09399414063,3.95946742660295,414197.084198821
56,CMR,51,CMR,64670.7551109537,82216.5798722661,54.8110532481774,75.8922275743995,0,0,82216.5798722661,54.8110532481774,75.8922275743995,31620.4140625,12782.1513671875,29.0743233621965,497796.235352789
57,GAB,51,CMR,217312.48337818,276271.540609805,184.181027073203,255.01988363982,2145976.5625,6124.5,2422248.10310981,6308.6810270732,6379.51988363982,22729.318359375,6134.3486328125,3.94763863639513,410414.834557378
83,CMR,53,NGA,199209.773484388,253257.383881097,168.838255920731,233.776046659474,1944034.6875,7592.57175,2197292.0713811,7761.41000592073,7826.34779665948,136959.484375,181874.140625,133.307224821189,949533.869083004
59,CMR,54,CMR,165822.496583847,210811.803752934,140.541202501956,194.595511156555,0,0,210811.803752934,140.541202501956,194.595511156555,27905.111328125,9421.4365234375,8.30014796103856,488378.267980544
