lon,lat,iso3c,city_country,city_port,population,IWI,gdp,wealth,gdp_other,SPAM_TOTAL,SPAM_TOP80,port_locode,port_name,port_status,outflows,product
8.781525,-0.719322,GAB,port-gentil - GAB,TRUE,185490.928624373,69.2332287468298,618917223.439575,12842135.8919131,617395678.939184,1510.17151710387,1417.74665767228,GAPOG,Port Gentil,AI,148566.9,3
9.45433,0.392626,GAB,libreville - GAB,TRUE,1114617.9205292,64.2533405221019,3452185958.74511,71617924.7997998,3443087480.00648,9195.67376317903,8477.79201875295,GALBV,Libreville,AI,414222.00003,5
10.6900301,-1.61629,GAB,"",FALSE,0,23.1045476307667,86454556.7246202,0,0,84600.7255679307,80556.736135792,"","","",0,1
9.8881998,0.40386,GAB,"",FALSE,0,24.3959108720963,7615798.09447737,0,0,7667.1876092255,7096.25797416841,"","","",0,1
9.4839201,4.6536598,CMR,kumba - CMR,FALSE,274251.248922742,53.2280580739407,961845160.783436,14597861.4045104,701803549.561662,265024.099834732,242301.901173858,"","","",0,6
9.7191801,4.7216001,CMR,loum - CMR,FALSE,146202.236536265,54.3337151641108,695733996.748284,7943710.67631736,381900073.911364,318019.802061869,292424.56927935,"","","",0,4
9.7883997,7.85706,NGA,"",FALSE,0,50.0506598617938,0,0,0,0,0,"","","",0,1
9.704361,4.048275,CMR,douala - CMR,TRUE,4139037.99484283,66.7423419366737,14195833215.2479,276249089.140684,13280889984.4881,930946.882023295,852526.959964806,CMDLA,Douala,AI,1089387.80006,7
10.10923,3.81478,CMR,edea - CMR,FALSE,84274,56.9610281399214,1251338674.18262,4800333.68546373,230779778.365202,1034304.76910161,950937.657841075,"","","",0,2
9.765828,1.863912,GNQ,bata - GNQ,TRUE,375069.860900754,61.9964934126871,1126847537.3171,23253016.1606311,1117906851.37642,10304.7285186079,8330.76364604701,GQBSG,Bata,RQ,454067,8
9.907671,2.937265,CMR,kribi - CMR,TRUE,139726.879616139,59.9551486071238,429923405.094483,8377345.8317953,402747421.539635,34031.2083556712,25322.07230478,CMKBI,Kribi,AI,1338743.54556,9
11.0017595,1.6778599,GNQ,mengomeyen - GNQ,FALSE,10291.0693602278,22.6469451153519,71397402.2453409,233061.282979359,11204602.5871825,90109.8713992151,56086.5229438623,"","","",0,1
10.417639,5.477679,CMR,bafoussam - CMR,TRUE,1418331.53539011,54.3739600794063,4523206115.0996,77120302.2846648,3707618560.47785,1095730.15325282,759949.202476109,"","","",0,10
11.3106298,8.9040794,NGA,"",FALSE,0,41.5794362588064,0,0,0,0,0,"","","",0,1
10.4113894,-0.24969,GAB,"",FALSE,0,29.6515334612707,39396077.9288289,0,0,37858.9763393699,36708.5272856879,"","","",0,1
10.795319,1.016035,GNQ,Medounou - GAB,TRUE,0,48.8168003043174,36185608.0879085,0,0,41929.8497265854,33717.0716395647,"","","",0,1
10.1261997,3.4361398,CMR,"",FALSE,0,29.5695457544034,346342013.235364,0,0,352532.884842941,322714.998838169,"","","",0,1
10.5479898,2.8142998,CMR,"",FALSE,0,34.6174379187322,6132176.34668423,0,0,7284.37675668659,5713.84702684284,"","","",0,1
10.5248098,3.85636,CMR,"",FALSE,0,36.9335943293525,158279150.04838,0,0,161920.719273877,147481.546482949,"","","",0,1
10.240261,-0.699501,GAB,lambarene - GAB,TRUE,51548.4958707443,44.2374644712455,148649378.974143,2280374.7546282,109630791.30443,37947.1980094242,36356.7889349351,"","","",0,2
10.9577293,-0.07846,GAB,"",FALSE,0,23.8912930223913,9941110.85262965,0,0,9484.44764899184,9262.94083494954,"","","",0,1
10.8377495,4.7785001,CMR,makenene - CMR,FALSE,48967.9640912569,36.8861242034851,102889594.390011,1806238.4054619,86836317.2646705,18249.8878665965,14958.1428497742,"","","",0,1
10.90411,5.8210897,CMR,foumban - CMR,FALSE,180715.137622366,36.8372368276155,500224475.737472,6657046.32293021,320042683.621129,244404.805960719,167890.01799204,"","","",0,4
10.8100796,4.4519897,CMR,"",FALSE,0,29.4140283733548,48781018.7875742,0,0,52319.600545927,45453.2393407861,"","","",0,1
10.8252296,3.87113,CMR,eseka - CMR,FALSE,26579.7797320302,34.8036640028052,140299092.626795,925073.72306215,44473639.2860014,102731.078126604,89288.3620287955,"","","",0,1
10.8318396,2.80825,CMR,"",FALSE,0,21.6106596636607,7280139.49741684,0,0,8732.64363429007,6783.49758235652,"","","",0,1
11.358396,-2.40053,GAB,ndende - GAB,TRUE,10269.4485091619,36.2647866328055,55283087.3552136,372419.359021339,17904350.5650696,36437.8056576915,34828.806609743,"","","",0,1
11.2579899,0.98871,GAB,"",FALSE,0,23.6235225190856,47412647.0216279,0,0,48439.5389459693,44178.2161672115,"","","",0,1
11.3172693,1.6293399,GNQ,"",FALSE,0,50.5899155336298,63451572.8782141,0,0,70593.6871344521,59122.9867736474,"","","",0,1
11.0112896,4.2733197,CMR,monatele - CMR,FALSE,26185.3621297611,29.1692612527964,201283709.892559,763807.668962082,36720648.2104551,178511.496889558,153336.777607329,"","","",0,1
10.8997297,3.9534199,CMR,"",FALSE,0,34.421129552294,89998109.6773981,0,0,98277.0644090687,83858.5523848694,"","","",0,1
11.1500101,2.9010398,CMR,ebolowa i - CMR,FALSE,71120.3027912351,58.8825558567211,214005649.484844,4187745.20165182,201329110.185344,15352.8249543313,11811.7618105141,"","","",0,2
11.516925,3.866788,CMR,yaounde - CMR,TRUE,5473116.69939264,61.6783182312002,16555614610.6218,337572633.501636,16229067112.0583,374803.766386964,304270.840938726,"","","",0,11
