id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,ACLED_fatalities_sqrt,N_ACLED,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,rugg,pop_wpop,pop_wpop_km2,cost_km,MA_gain_pusd,MA_gain_pusd_bc,consensus,MA_gain_pusd_cons,duration_90kmh,duration_65kmh,total_time_90kmh,total_time_65kmh,MA_per_link_90kmh,MA_per_link_90kmh_perc,MA_per_link_90kmh_bt,MA_per_link_90kmh_bt_perc,MA_gain_90kmh_pusd,MA_gain_90kmh_pusd_bt
1,20,1,162206.8367611,206215.179141117,0.654377565616401,0.0104858357281579,0.676527246458803,0.0106753612689525,1.98844492453021,44,27759558.319,0.0145413264631467,GAB,GAB,0,0,19186788.7565471,0.0170110410327107,0.808548145793475,1.16984107851668,206215.179141117,6267.13671875,25705.90625,23.499331479248,449448.348382425,0.0435464754877939,0.0352094220114968,FALSE,0.0393779487496453,137.476786094078,190.352473053338,137.476786094078,190.352473053338,25485887906.3617,0.175373015450142,14868777121.7877,0.126957669288696,0.481394530126455,0.203414896227625
2,40,3,241324.904098506,306798.772009718,0.654400265691217,0.0139551562400531,0.676461849574334,0.00100777342759706,0,19,27756878.8696284,0.00488757416547969,GAB,GAB,0,0,19184781.8870428,0.00654961927426534,0.926193466275498,1.34005522013854,306798.772009718,22103.98828125,6430.2607421875,3.71741535244486,407389.826949478,0.010853728853682,0.0100526527490062,FALSE,0.0104531908013441,204.532514673145,283.198866470509,204.532514673145,283.198866470509,25448451365.9205,0.0282241534255379,14854992770.8105,0.03413328195081,0.0574507797820119,0.0405544468744024
3,10,4,162919.60861372,207121.333149232,0.655607267149519,0.198424808917497,0.682785722807806,0.935862705418922,11.2227822715339,208,27859169.1808087,0.373427967974083,GNQ,GAB,1632187.5,5862,19195369.7520018,0.0617421071858582,0.114275629958779,0.165338733252415,1839308.83314923,58857.390625,47309.8515625,42.5120735451238,710859.5665286,0.703959380507614,0.0804454016728994,FALSE,0.392202391090257,138.080888766155,191.188922906983,6000.08088876616,6053.18892290698,25657275773.4446,0.849033810727251,14855521486.1751,0.0376936729970412,1.46708453979534,0.0380175428874677
4,22,6,124113.601300131,157786.866675977,0.654634025666112,0.0496813942508778,0.676734769022528,0.0413533152751944,99.713499292434,1047,27780882.706185,0.0913706757945887,CMR,CMR,0,0,19207145.7525724,0.123128115758631,0.931385375802468,1.34756709073091,157786.866675977,78592.2578125,21662.951171875,25.5331996550307,871335.305687584,0.184459096720463,0.171802505119172,FALSE,0.178130800919817,105.191244450652,145.64941539321,105.191244450652,145.64941539321,25580047419.161,0.545478398957688,14969496875.4724,0.805208639832333,1.00939277969528,0.869714065257116
5,16,10,148271.837859224,188499.475214815,0.654544198071202,0.0359527735272369,0.677928417150081,0.2178097048813,11.273686287681,6,27784516.8325617,0.104464021103401,GNQ,GNQ,0,0,19189233.3783061,0.029754380450675,0.196862588341616,0.284828978785179,188499.475214815,35392.453125,30044.166015625,30.1307042247411,650274.456999675,0.236542565419565,0.0465663816814615,FALSE,0.141554473550513,125.666316809877,173.999515582906,125.666316809877,173.999515582906,25481421221.6624,0.157816169577418,14856363939.9388,0.0433667913471103,0.327554415387431,0.0525381384931335
6,18,10,136818.823151926,173939.142699055,0.654955403029311,0.0987984604814418,0.679557877370614,0.45869197234778,10.6367988835673,4,27810522.4230467,0.198159215183846,CMR,GNQ,1701289.0625,8206.5,19188517.6161618,0.0260232511197334,0.0907666479761996,0.131324960565623,1875228.20519905,57915.1875,29567.41015625,31.8864782506016,689403.967128934,0.458661803432119,0.041631194452252,FALSE,0.250146498942185,115.959428466037,160.559208645281,8322.45942846604,8367.05920864528,25560810679.3022,0.469866060159507,14850763064.3545,0.00565026443020145,0.996877451433406,0.00699716154721762
7,16,12,77086.8293491119,98001.2596328496,0.658689688627215,0.669520527555889,0.683362420688449,1.02111565690681,0.203333300030066,3,27933085.0002439,0.639738285041624,GNQ,GNQ,0,0,19208755.7617212,0.131520781402417,0.142092467752485,0.20558529085665,98001.2596328496,10039.099609375,14751.669921875,28.4812905637034,441125.607954339,4.10731317507154,0.583618264878211,FALSE,2.34546571997487,65.3341730885664,90.4627011995535,65.3341730885664,90.4627011995535,25748512710.1226,1.20765165437826,14861564647.6247,0.0783885711515886,7.10700389236082,0.26926695037514
8,28,12,81752.6215349407,103932.928054773,0.65799208099708,0.562903061312459,0.6801034592515,0.539345061573471,0,3,27886243.2095817,0.470972624069677,GAB,GNQ,1632187.5,5862,19199380.7108097,0.0826504580550225,0.121291011832102,0.175488879461484,1736120.42805477,10175.7861328125,17082.79296875,31.108623678176,436897.795333306,2.87880370061428,0.349173013713505,FALSE,1.61398835716389,69.288618703182,95.9380874351751,5931.28861870318,5957.93808743518,25665147083.7799,0.879972950531394,14856576868.8684,0.0448006635308307,4.93031999180286,0.146512831492906
9,45,13,118906.070754416,151166.480841383,0.654377982005513,0.0105494737249856,0.676455032440268,0,57.8905660635521,431,27773377.5456378,0.0643304332561545,CMR,CMR,0,0,19201369.0657614,0.0930153670393175,0.999349146615554,1.44589990042417,151166.480841383,79843.140625,92700.671875,113.988900583566,937211.680643248,0.12602963691295,0.125947610097224,FALSE,0.125988623505087,100.777653894256,139.538290007431,100.777653894256,139.538290007431,25488061792.7888,0.183917739672634,14892746248.8444,0.288366758316139,0.330270075544723,0.302256904979658
10,53,14,119299.180087683,151666.244681184,0.654522075034245,0.032571643441992,0.676455032440268,0,85.8157074199048,216,27757018.1448822,0.00538936711416138,NGA,NGA,0,0,19183860.0754637,0.00174439417668371,0.22371024752968,0.323673288483177,151666.244681184,117632.6640625,67953.078125,83.8738402563239,994667.237489648,0.00991563256873151,0.00221822861636428,FALSE,0.00606693059254789,101.110829787456,139.999610474939,101.110829787456,139.999610474939,25448159624.6061,0.02707742881074,14850429248.1074,0.00340233207059004,0.0456645809040391,0.00334914679312793
