from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,sp_distance,distance,duration,ACLED_fatalities_sqrt,N_ACLED,from_ctry,to_ctry,border_dist,border_time,total_dist,total_time,rugg,pop_wpop,pop_wpop_km2,cost_km,speed_kmh,speed_kmh_imp,duration_imp,MA_90_min_speed,MA_90_min_speed_perc,MA_90_min_speed_bt,MA_90_min_speed_bt_perc,MA_90_min_speed_bt_ratio,MA_90_min_speed_bt_perc_ratio,total_time_imp,upgrade_cat,ug_cost_km,MA_gain_pusd,MA_gain_pusd_bt,consensus,MA_gain_pusd_cons,MA_bt_50perc_red,MA_bt_50perc_red_perc,MA_bt_100perc_red,MA_bt_100perc_red_perc,MA_bt_90percto12h_red,MA_bt_90percto12h_red_perc
1,2,46,6.48243976482947,4.23936728417438,0.0283022140883286,0.811738489973018,144514.153396232,160657.894736842,674.333333333333,9.25139931011742,236,GAB,GAB,0,0,160657.894736842,674.333333333333,8439.5654296875,131034.515625,127.729218695731,606691.813215853,14.2948200952208,90,107.105263157895,25520220226.3847,0.310320362681105,14893887529.9869,0.29605219254587,0.556856685883233,0.954021160545314,107.105263157895,Upgrade: <60km/h,513665.735189422,0.956679364631087,0.532733300441344,FALSE,0.744706332536215,14661381414.2453,,14661381414.2453,,14661095077.8995,
1,3,11.6666666666667,1.81397254256075,1.19448606702129,0.0238995235882658,0.258630709017018,234443.888792812,395454.210526316,374.508333333333,2.51578922090164,34,GAB,GAB,0,0,395454.210526316,374.508333333333,10310.5732421875,22364.046875,9.4520332711395,451062.933539086,63.355740099007,90,263.636140350877,25455177102.3351,0.0546604760136793,14854664033.7748,0.031919553210269,0.340854337585014,0.583960395849476,263.636140350877,Mixed Works: 60-80km/h,242822.212555208,0.144819683445538,0.0493624172701003,FALSE,0.0970910503578191,14661381414.2453,,14661381414.2453,,14655177407.8737,
2,4,97,50.7777401411483,27.250727237124,0.587349627342047,1.70567336873013,48259.2005854514,60567.3684210526,63.3416666666667,7.25148160387136,206,GAB,GAB,0,0,60567.3684210526,63.3416666666667,25234.94140625,355568.15625,1026.0552244142,807770.140644733,57.3720632326771,90,40.3782456140351,25500330095.0314,0.232139789378438,14894678076.5714,0.301375765812595,0.757781802133372,1.2982512244865,40.3782456140351,Upgrade: <60km/h,683912.05241254,1.42576984342735,1.08042244137979,TRUE,1.25309614240357,14661381414.2453,,14661381414.2453,,14532085592.1858,
5,6,3,0.271112196242487,0.184621721360066,0.00456970522048221,-0.566850944825747,27144.7026991107,37560,63.1416666666667,376.871778741319,1984,CMR,CMR,0,0,37560,63.1416666666667,87975.0078125,45126.58203125,206.885917857105,1340460.25200742,35.6911706480137,90,25.04,25505657627.4884,0.253080301754993,14909583450.6812,0.401749169107268,0.926578191926144,1.58743752999078,25.04,Upgrade: <60km/h,1093338.61536697,1.56789463218253,1.45277697341839,TRUE,1.51033580280046,14661381414.2453,,14661381414.2453,,14619667658.4878,
5,7,9,11.6424618725603,8.16351900131657,0.197244319291248,1.06604482435321,357788.364718077,519928.421052632,539.925,1123.93197830078,3241,CMR,NGA,1944034.6875,7592.57175,2463963.10855263,8132.49675,27761.794921875,1015322.375,297.154516514323,1202438.02796346,57.77784926269,90,346.618947368421,25500918014.2127,0.234450677015863,14862616003.3601,0.0854684439849152,0.212784376422578,0.364547652720715,7939.19069736842,Upgrade: <60km/h,1018064.19700906,0.112686416661005,0.0239779089005068,FALSE,0.0683321627807559,14720033707.7186,0.400046160836887,15099812851.7387,2.99038286438307,14924597886.8462,1.7953047203664
5,8,6,11.3713496763178,7.97889727995651,0.192674614070766,1.05581201457252,71615.5844900317,111872.105263158,190.125,741.326609938093,2824,CMR,CMR,0,0,111872.105263158,190.125,21207.6171875,1095948.375,1727.77423636841,1296746.65062263,35.3048063946849,90,74.5814035087719,25643730767.8487,0.79579352366943,15026160326.531,1.18678265355741,0.870474834583164,1.49131981884586,74.5814035087719,Upgrade: <60km/h,1093338.61536697,1.65524659353151,1.44085050469868,TRUE,1.5480485491151,14661381414.2453,,14661381414.2453,,14650940417.6373,
8,9,34.375,170.950801761416,128.070326079153,2.99445247139388,2.23287114198399,51877.9666250696,68275.7894736842,96.8333333333333,68.9878619769472,758,CMR,CMR,0,0,68275.7894736842,96.8333333333333,4752.40625,1140426.5,2870.9366368129,893481.604200546,42.3051363348129,90,45.5171929824561,26025719998.282,2.29724851661026,15374226780.366,3.53067649255818,0.897088680994855,1.53691534330292,45.5171929824561,Upgrade: <60km/h,756481.091556461,11.3157142617901,10.151199181624,TRUE,10.733456721707,14661381414.2453,,14661381414.2453,,13862651207.1545,
6,8,13,45.8210446781787,32.6998403550078,0.720671319593308,1.66106498648578,74888.4774409911,104528.947368421,155.458333333333,417.668271242139,2503,CMR,CMR,0,0,104528.947368421,155.458333333333,30787.623046875,946803.625,1591.03148193678,1271647.92691936,40.3435229725345,90,69.6859649122807,25672140124.2846,0.907459944260736,15062763233.7707,1.43326813879523,0.921903392874865,1.57942854432307,69.6859649122807,Upgrade: <60km/h,1076661.91145839,2.05139993803005,1.89119256301319,TRUE,1.97129625052162,14661381414.2453,,14661381414.2453,,14600679109.0492,
6,9,3,0.271112196242487,0.184621721360066,0.00456970522048221,-0.566850944825747,109718.392696023,161296.842105263,211.558333333333,108.790761568515,1198,CMR,CMR,0,0,161296.842105263,211.558333333333,22228.517578125,37796.69140625,43.0604433107404,788567.449277037,45.745352470079,90,107.531228070175,25539398843.7344,0.385704243909224,14932735337.4124,0.557654928115547,0.843910825227391,1.4458096765116,107.531228070175,Upgrade: <60km/h,667653.773721223,0.911204896781746,0.768975676394323,FALSE,0.840090286588034,14661381414.2453,,14661381414.2453,,14650563407.7138,
10,11,2,6.82427584968708,3.48847598805531,0.0582068027287218,0.834056573490011,120387.388709017,308423.684210526,459.808333333333,10.7420303098398,22,GNQ,CMR,1701289.0625,8206.5,2009712.74671053,8666.30833333333,31886.25,94966.7109375,52.1217373838285,669057.94050683,40.2459453452669,90,205.615789473684,25492377099.4047,0.200879575631197,14850301890.9887,0.00254470398652895,0.00739412722183501,0.0126678084545583,8412.11578947369,Upgrade: <60km/h,566469.056295783,0.29251670363347,0.00216290572117768,FALSE,0.147339804677324,14689165355.2547,0.189504250822914,14950854256.7883,1.97438995933745,14809577764.6873,1.01079390989711
