city_port,population,city_country,IWI,N_IWI,wealth,gdp,iso3c,port_locode,port_name,port_status,outflows,lon,lat
TRUE,185490.928624373,port-gentil - GAB,69.2332287468298,10,12842135.8919131,617395678.939184,GAB,GAPOG,Port Gentil,AI,148566.9,8.781525,-0.719322
TRUE,1114617.9205292,libreville - GAB,64.2533405221019,28,71617924.7997998,3443087480.00648,GAB,GALBV,Libreville,AI,414222.00003,9.45433,0.392626
FALSE,0,,23.1045476307667,10,0,0,GAB,,,,,10.6900301,-1.61629
FALSE,0,,24.3959108720963,13,0,0,GAB,,,,,9.8881998,0.40386
FALSE,274251.248922742,kumba - CMR,53.2280580739407,47,14597861.4045104,701803549.561662,CMR,,,,,9.4839201,4.6536598
FALSE,146202.236536265,loum - CMR,54.3337151641108,43,7943710.67631736,381900073.911364,CMR,,,,,9.7191801,4.7216001
FALSE,0,,50.0506598617938,34,0,0,NGA,,,,,9.7883997,7.85706
TRUE,4139037.99484283,douala - CMR,66.7423419366737,212,276249089.140684,13280889984.4881,CMR,CMDLA,Douala,AI,1089387.80006,9.704361,4.048275
FALSE,84274,edea - CMR,56.9610281399213,45,4800333.68546373,230779778.365202,CMR,,,,,10.10923,3.81478
TRUE,375069.860900754,bata - GNQ,61.9964934126871,43,23253016.1606311,1117906851.37642,GNQ,GQBSG,Bata,RQ,454067,9.765828,1.863912
TRUE,139726.879616139,kribi - CMR,59.9551486071238,38,8377345.8317953,402747421.539635,CMR,CMKBI,Kribi,AI,1338743.54556,9.907671,2.937265
FALSE,10291.0693602278,mengomeyen - GNQ,22.6469451153519,21,233061.282979359,11204602.5871825,GNQ,,,,,11.0017595,1.6778599
TRUE,1418331.53539011,bafoussam - CMR,54.3739600794063,97,77120302.2846648,3707618560.47785,CMR,"","","",,10.417639,5.477679
FALSE,0,,41.5794362588064,57,0,0,NGA,,,,,11.3106298,8.9040794
FALSE,0,,29.6515334612707,15,0,0,GAB,,,,,10.4113894,-0.24969
TRUE,0,Medounou - GAB,48.8168003043174,36,0,0,GNQ,"","","",,10.795319,1.016035
FALSE,0,,29.5695457544034,20,0,0,CMR,,,,,10.1261997,3.4361398
FALSE,0,,34.6174379187322,22,0,0,CMR,,,,,10.5479898,2.8142998
FALSE,0,,36.9335943293525,26,0,0,CMR,,,,,10.5248098,3.85636
TRUE,51548.4958707443,lambarene - GAB,44.2374644712455,26,2280374.7546282,109630791.30443,GAB,"","","",,10.240261,-0.699501
FALSE,0,,23.8912930223913,9,0,0,GAB,,,,,10.9577293,-0.07846
FALSE,48967.9640912569,makenene - CMR,36.8861242034851,17,1806238.4054619,86836317.2646705,CMR,,,,,10.8377495,4.7785001
FALSE,180715.137622366,foumban - CMR,36.8372368276155,43,6657046.32293021,320042683.621129,CMR,,,,,10.90411,5.8210897
FALSE,0,,29.4140283733548,29,0,0,CMR,,,,,10.8100796,4.4519897
FALSE,26579.7797320302,eseka - CMR,34.8036640028052,31,925073.72306215,44473639.2860014,CMR,,,,,10.8252296,3.87113
FALSE,0,,21.6106596636607,20,0,0,CMR,,,,,10.8318396,2.80825
TRUE,10269.4485091619,ndende - GAB,36.2647866328055,15,372419.359021339,17904350.5650696,GAB,"","","",,11.358396,-2.40053
FALSE,0,,23.6235225190857,10,0,0,GAB,,,,,11.2579899,0.98871
FALSE,0,,50.5899155336298,40,0,0,GNQ,,,,,11.3172693,1.6293399
FALSE,26185.3621297611,monatele - CMR,29.1692612527964,29,763807.668962082,36720648.2104551,CMR,,,,,11.0112896,4.2733197
FALSE,0,,34.421129552294,41,0,0,CMR,,,,,10.8997297,3.9534199
FALSE,71120.3027912351,ebolowa i - CMR,58.8825558567211,85,4187745.20165182,201329110.185344,CMR,,,,,11.1500101,2.9010398
TRUE,5473116.69939264,yaounde - CMR,61.6783182312002,224,337572633.501635,16229067112.0583,CMR,"","","",,11.516925,3.866788
FALSE,0,,23.7314194544576,34,0,0,CMR,,,,,11.0307493,2.5671699
TRUE,107018.126875407,bafia - CMR,56.2577741985227,60,6020601.6169055,289445108.989419,CMR,"","","",,11.233892,4.750141
FALSE,0,,47.2132674231036,58,0,0,CMR,,,,,11.5215797,4.1286998
FALSE,0,,23.5640458156064,25,0,0,NGA,,,,,11.2000599,6.5863299
FALSE,21092.3792361838,bankim - CMR,48.4903842992829,10,1022777.57494877,49170828.015214,CMR,,,,,11.4886093,6.0801997
FALSE,0,,24.6084373628492,10,0,0,GAB,,,,,11.4499493,0.35482
TRUE,15925.5515698234,lastoursville - GAB,28.9219651239633,36,460598.247082311,22143619.2444167,GAB,"","","",,12.708589,-0.817882
FALSE,80169.8524098465,bitam - GAB,49.711983621294,59,3985402.38991985,191601322.013721,CMR,,,,,11.3366795,2.1724999
FALSE,0,,35.989804730622,50,0,0,CMR,,,,,11.3987398,2.9416099
FALSE,0,,20.2978890632107,30,0,0,NGA,,,,,11.37848,7.80269
FALSE,19459.6703042637,mayo-darle - CMR,27.6775168161235,21,538595.352082478,25893390.7779194,CMR,,,,,11.5749798,6.2867699
FALSE,0,,21.4276726170787,19,0,0,CMR,,,,,11.3942499,5.033
FALSE,38496.9230736977,ntui - CMR,39.1395367626388,29,1506751.73589147,72438262.513583,CMR,,,,,11.6239901,4.45331
FALSE,11637.3076462173,mitzic - GAB,25.3228390016027,28,294689.667937281,14167435.1637309,GAB,,,,,11.5485697,0.78783
FALSE,0,,21.8190986327782,17,0,0,GAB,,,,,11.6136293,1.40861
FALSE,0,,44.3513899976176,28,0,0,NGA,,,,,12.0360594,9.4568796
