id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,rugg,pop_wpop,pop_wpop_km2,cost_km,MA_gain_pusd,MA_gain_pusd_bc,consensus,MA_gain_pusd_cons,duration_100kmh,duration_65kmh,total_time_100kmh,total_time_65kmh,MA_per_link_100kmh_bt,MA_per_link_100kmh_bt_perc,MA_per_link_100kmh,MA_per_link_100kmh_perc,MA_gain_100kmh_pusd,MA_gain_100kmh_pusd_bt
21,57,40,155788.117165923,198054.996514995,0.654428602358039,0.0182859340122299,0.67648166988198,0.00393779932643668,21536479.2828173,0.00966248685709825,GAB,GAB,0,0,15195397.5925145,0.00556627208789795,0.406472027664318,0.576070339884484,198054.996514995,14594.373046875,3450.3525390625,3.23096988754711,384024.118228917,0.0273575598732808,0.0111200828336404,FALSE,0.0192388213534606,118.832997908997,182.819996783072,118.832997908997,182.819996783072,11731409298.7709,0.0417869592048037,19843591779.9658,0.183079499910055,0.476783613282644,0.0644265998667125
22,56,41,111037.336833077,141162.880453118,0.657606031901564,0.503902020281033,0.677096247323166,0.094790466793282,21569534.6955111,0.163163002120359,CMR,CMR,0,0,15204275.7677075,0.0639962626321378,0.276750282680963,0.392222880190267,141162.880453118,17155.08984375,41894.359375,55.1853159114402,487813.654931927,0.510246423122182,0.141210841836014,FALSE,0.325728632479098,84.6977282718706,130.304197341339,84.6977282718706,130.304197341339,11744414468.2098,0.152690973994685,19925568436.4535,0.5969498307004,1.71707504213646,0.260020534969088
23,61,43,202834.174818002,257865.121663391,0.65484838278332,0.0824422353322252,0.676455032440269,0,21537241.1264279,0.0132002852763158,CMR,NGA,1944034.6875,7592.57175,15194894.3547235,0.00225431003193499,0.120499563952297,0.170777372211775,2201899.80916339,121762.609375,42590.2421875,30.5792771505199,587651.31500205,0.0187587435590809,0.00226042041916221,FALSE,0.0105095819891216,154.719072998035,238.0293430739,7747.29082299804,7830.6010930739,11728030787.9159,0.0129760759946196,19867392411.5705,0.303240234651958,0.396369669376636,0.0100415281571407
24,57,47,149966.193668578,190653.526756238,0.654805611109829,0.0759053122000308,0.676577422135445,0.0180928057752494,21544494.8315663,0.0468845561893083,GAB,GAB,0,0,15196521.9444263,0.0129659764356971,0.195132930726259,0.276551118098328,190653.526756238,24493.548828125,4010.09399414063,3.95946742660295,414197.084198821,0.127852926908106,0.0249483163295088,FALSE,0.0764006216188072,114.392116053743,175.987870851912,114.392116053743,175.987870851912,11732496418.4791,0.0510575758440712,19849369375.6749,0.212248479833543,0.532376178848507,0.0758188263048755
25,56,51,64670.7551109537,82216.5798722661,0.659147135234517,0.739433464435257,0.677518864154731,0.157265695936171,21616298.7853738,0.380322955809187,CMR,CMR,0,0,15234930.0407742,0.265741423824806,0.49301696809892,0.698725700791334,82216.5798722661,31620.4140625,12782.1513671875,29.0743233621965,497796.235352789,2.00112524687214,0.986588701999106,FALSE,1.49385697443562,49.3299479233597,75.8922275743995,49.3299479233597,75.8922275743995,11781783177.6072,0.471359632572854,20069928619.0347,1.32577190124705,6.41628583382192,1.35054829448461
26,57,51,217312.48337818,276271.540609805,0.655317231313274,0.15409776224482,0.676757793040153,0.044756943974833,21554269.9673546,0.0922776781622225,GAB,CMR,2145976.5625,6124.5,15196538.5646094,0.0130753589516308,0.0999797647016491,0.141695794823148,2422248.10310981,22729.318359375,6134.3486328125,3.94763863639513,410414.834557378,0.175254914358907,0.0175219451004112,FALSE,0.0963884297296591,165.762924365883,255.01988363982,6290.26292436588,6379.51988363982,11728715085.3708,0.0188115505281194,19864556063.5445,0.288920544803295,0.504713745419676,0.019455130151183
27,83,53,199209.773484388,253257.383881097,0.655503049356806,0.182496891107431,0.677446431832702,0.146558062973745,21557725.8132773,0.108325704387857,CMR,NGA,1944034.6875,7592.57175,15208626.9705943,0.0926328617076866,0.603376939549405,0.855132788945616,2197292.0713811,136959.484375,181874.140625,133.307224821189,674044.164898148,0.136651309551695,0.08245224894272,FALSE,0.109551779247207,151.954430328658,233.776046659474,7744.52618032866,7826.34779665948,11732741950.4906,0.0531513959951768,19838988702.4378,0.159840235212405,0.185464822054117,0.0365117755024132
28,59,54,165822.496583847,210811.803752934,0.654555658756898,0.0377043444928615,0.676470042999021,0.00221900319048451,21535964.0678779,0.00726996617086417,CMR,CMR,0,0,15195877.7320148,0.00872621721821343,0.846932459987676,1.20031056721907,210811.803752934,27905.111328125,9421.4365234375,8.30014796103856,443825.797489723,0.0167323780984933,0.0141711941444008,FALSE,0.015451786121447,126.487082251761,194.595511156555,126.487082251761,194.595511156555,11732669546.1598,0.0525339545220493,19819080407.9035,0.059330495032528,0.125601958865696,0.0658417513234467
29,76,57,350789.405960587,445962.091582543,0.655251477042607,0.144048339861347,0.676508913174006,0.00796516119379032,21540270.4843022,0.0272678148194538,COG,GAB,2297986.25,7923.99975,15195554.5671619,0.00659937032760904,0.170768322568462,0.242020505541237,2743948.34158254,8431.3427734375,6900.72705078125,2.74976411599978,355882.635565152,0.0369980078470386,0.00631808773841358,FALSE,0.0216580477927261,267.577254949526,411.657315306963,8191.57700494953,8335.65706530696,11726558412.7531,0.00042012141081571,19811509458.4592,0.0211075241875802,0.0263425892887476,0.00031041222733923
30,132,57,371816.985079325,472694.663904764,0.658452434549223,0.633260275289871,0.677030140476588,0.0850179256180139,21561408.4665093,0.125426963231012,CMR,GAB,2145976.5625,6124.5,15201724.8104704,0.047207631634727,0.265568434808824,0.37637546520025,2618671.22640476,21309.296875,6626.6103515625,2.46045396578114,395060.363414748,0.144637029847484,0.0384110296319937,FALSE,0.0915240297397391,283.616798342858,436.33353591209,6408.11679834286,6560.83353591209,11733372103.431,0.0585251430532896,19963262384.4159,0.787252867935551,0.835018312187724,0.0367508232377753
31,85,62,35096.1833790301,44618.1300812582,0.654391665295903,0.0126407320314659,0.676455032440269,0,21534942.4719434,0.00252594727789823,CMR,CMR,0,0,15195049.1045353,0.00327276594660475,0.914209678360068,1.2956588505394,44618.1300812582,6473.880859375,6029.83544921875,24.5185434566333,453005.797783365,0.0269117476626831,0.0246029801748088,FALSE,0.025757363918746,26.7708780487549,41.1859662288537,26.7708780487549,41.1859662288537,11729897443.7445,0.0288943326999913,19811306528.9287,0.0200830067755176,0.19680653542136,0.167635614241886
32,66,65,136191.319434907,173141.3909273,0.657238212973923,0.447687150478315,0.676777762933734,0.0477090830858007,21556206.3376688,0.101269665154669,CMR,CMR,0,0,15201103.5892973,0.0431191847998225,0.300432088081288,0.425785794136544,173141.3909273,5602.13037109375,14062.78515625,15.0018571545533,383323.744131923,0.328583307169343,0.0987169690815409,FALSE,0.213650138125442,103.88483455638,159.822822394431,103.88483455638,159.822822394431,11739661646.4259,0.112160397296379,19936333395.5491,0.651298194890226,1.94374441233926,0.198171712375264
33,132,66,285119.174192095,362474.867006903,0.65607002775196,0.269149899610666,0.676797379811744,0.0506090360863576,21553093.3558079,0.0868138081340231,CMR,CMR,0,0,15201945.0206727,0.0486569024319872,0.395467500615146,0.560474231897197,362474.867006903,21421.26171875,17620.06640625,8.54148504852827,430901.113655381,0.119692251792562,0.0473343956594031,FALSE,0.0835133237259823,217.484920204142,334.592184929449,217.484920204142,334.592184929449,11750121782.6591,0.20136116541869,19935885379.2005,0.649036323250818,0.823074968423392,0.151178122359097
34,96,70,197581.268129653,251187.048683367,0.655456686778072,0.175411159157735,0.676536923780346,0.0121059547420588,21542498.4620774,0.0376139490411376,CMR,CMR,0,0,15197938.033427,0.022285691931323,0.418053957971546,0.592484769598364,251187.048683367,29032.505859375,10766.388671875,8.08454736457249,445052.019101948,0.0724558839214774,0.0302904690517005,FALSE,0.0513731764865889,150.71222921002,231.864968015416,150.71222921002,231.864968015416,11761659124.8684,0.299748008975098,19995678516.8572,0.950910133689575,1.6848349532129,0.314424974826402
35,96,75,168541.968687758,214269.095925539,0.654908560351586,0.0916393535631777,0.676494001997398,0.00576084961465551,21539051.3971429,0.021606699381671,CMR,CMR,0,0,15197520.7304386,0.0195392931348737,0.63808063938916,0.904316424721902,214269.095925539,37621.59765625,24454.578125,21.4732310111644,495852.937108356,0.0437934085107253,0.0279437261035542,FALSE,0.0358685673071398,128.561457555324,197.786857777421,128.561457555324,197.786857777421,11732421328.0496,0.0504172281622584,19818324419.8232,0.0555137861026678,0.103493798608582,0.0556461708455019
36,79,77,300413.322291627,381918.470945748,0.654493226758892,0.0281626750035846,0.676849192118401,0.0582684227671715,21550781.8013784,0.0760795662334335,COG,GAB,2297986.25,7923.99975,15195692.7006777,0.007508469309081,0.0696367558853099,0.0986923254273415,2679904.72094575,17555.275390625,42204.22265625,18.9143372154702,447885.361600876,0.095777443898944,0.00666963048010972,FALSE,0.0512235371895268,229.151082567449,352.540127026845,8153.15083256745,8276.53987702684,11726662662.812,0.00130913328633131,19841816671.5982,0.174117623215508,0.201618837247837,0.000897459957993195
37,112,77,312923.01566637,397822.169654037,0.654554453433374,0.0375201312839746,0.677378531894181,0.136520449937461,21563255.9736495,0.134006293357558,COG,GAB,2297986.25,7923.99975,15196851.8170432,0.0151369691753889,0.0797019377916593,0.112957151460045,2695808.41965404,19426.373046875,13858.3115234375,6.09224134650408,415271.816864519,0.174677312358199,0.0139221202831874,FALSE,0.0942997163206931,238.693301792422,367.220464296034,8162.69305179242,8291.22021429603,11726701154.091,0.00163737486755799,19851337998.992,0.222187343144076,0.266393597748342,0.00116223895339956
38,108,80,179817.670751888,228604.009098904,0.654491571606414,0.0279097130866601,0.676510032942078,0.00813069593266214,21540147.9227115,0.0266986714994033,CMR,CMR,0,0,15200135.673588,0.0367490350208222,0.971206178165643,1.3764368396249,228604.009098904,81535,62349.03125,51.0564789521926,584346.570070453,0.0430395831231571,0.0418003090348839,FALSE,0.0424199460790205,137.162405459342,211.019085322065,137.162405459342,211.019085322065,11746452321.3836,0.170069148080265,19876585717.2249,0.349653892091739,0.518453645001315,0.149293170520312
39,101,82,105088.98425278,133600.680132627,0.654487017313702,0.0272136668731493,0.676460112720288,0.0007510151857959,21535408.7831938,0.00469137228302774,CMR,NGA,1944034.6875,7592.57175,15194589.152794,0.000245682643273959,0.03695130041346,0.0523690358496553,2077635.36763263,210140.546875,173202.78125,244.567133858879,746920.718889458,0.0101239377969622,0.000374092666902733,FALSE,0.00524901523193247,80.1604080795762,123.32370473781,7672.73215807958,7715.89545473781,11733372179.5202,0.0585257919184956,19835301992.468,0.141227377111886,0.280324867040589,0.0687753596236493
40,97,89,140725.619649969,178905.89228741,0.654396723066696,0.0134137263101186,0.676479555030124,0.00362516186280804,21535869.6464856,0.00683149842271025,CMR,CMR,0,0,15195929.5517623,0.00906725884992632,0.936515975803784,1.32727233307756,178905.89228741,31197.1171875,101449.8984375,104.822487573731,553084.790618437,0.0148673086697447,0.0139234720864221,FALSE,0.0143953903780834,107.343535372446,165.143900572994,107.343535372446,165.143900572994,11761778769.7425,0.300768303016907,19866204458.808,0.297242693109667,0.595005163031487,0.356438372404896
41,142,92,157377.929690872,200076.141129978,0.654622842420789,0.0479722253295734,0.676533605857757,0.011615467949877,21538596.2879444,0.0194932937156889,CAF,CMR,1591690.84375,6711.85725,15195123.1602214,0.00376014910228317,0.136105284769069,0.192894497827059,1791766.98487998,37084.8125,37921.078125,35.4753959318458,515801.243494313,0.0406761916830341,0.00553624465234059,FALSE,0.0231062181676874,120.045684677987,184.685668735365,6831.90293467799,6896.54291873537,11734151535.8934,0.0651718991569128,19892757163.2459,0.431297642895911,0.827799775515189,0.0740544969506993
42,122,95,125321.64716306,159322.667502926,0.654941279901684,0.0966399805308438,0.67715630997792,0.103669498195802,21550599.1370086,0.0752313216465073,TCD,TCD,0,0,15208489.4359586,0.0917277041402098,0.860313981284964,1.21927545778359,159322.667502926,20264.33984375,39261.98828125,45.4279644562609,489658.18441759,0.207663825648838,0.178656092612818,FALSE,0.193159959130828,95.5936005017558,147.067077695009,95.5936005017558,147.067077695009,11751719934.0682,0.214989700466917,19839761971.6261,0.163744190172954,0.415739433214825,0.323158671627179
43,114,96,103892.528803483,132079.614314825,0.654374172698989,0.00996728598481322,0.676455032440269,0,21534848.6210761,0.00209012889551552,CMR,CMR,0,0,15194952.8728381,0.00263943566951586,0.891031711777,1.26280999950716,132079.614314825,13373.9267578125,14493.6630859375,20.4590895252914,436261.497401245,0.00781129676218289,0.00696011312520596,FALSE,0.00738570494369442,79.2477685888947,121.919643982915,79.2477685888947,121.919643982915,11729607284.1487,0.026419942477296,19812680807.5759,0.0270212399593461,0.092885624087792,0.0537672638866059
44,102,101,99313.4119756576,126258.137145223,0.654494436362904,0.0283475424124546,0.676471008113495,0.0023616755674194,21536464.2076833,0.00959248195804285,TCD,CMR,1723632.8125,7621.5,15195090.1961426,0.00354320240159023,0.260627428632888,0.369372850226673,1849890.94964522,13377.4453125,48383.61328125,72.5065350087195,484408.038029573,0.0337748181004928,0.00880264399407494,FALSE,0.0212887310472838,75.7548822871338,116.545972749437,7697.25488228713,7738.04597274944,11730216954.2864,0.0316190186053333,19840403785.8689,0.166984476912257,0.54079328347535,0.0606242549712824
45,107,102,94164.4195683639,119712.17143337,0.654788871009184,0.0733468724147146,0.676549271317516,0.0139312848197459,21541046.3670324,0.0308708071635744,CMR,TCD,1723632.8125,7621.5,15196444.8777947,0.0124587773255191,0.284762362622643,0.403577958279618,1843344.98393337,29952.552734375,56440.0859375,89.9230160603935,543335.635532754,0.102205491866926,0.0291042773370353,FALSE,0.0656548846019808,71.8273028600219,110.503542861572,7693.32730286002,7732.00354286157,11733876620.9091,0.0628275102099174,19840340288.0226,0.166663899375208,0.507529098877329,0.113269269006889
46,129,104,149003.108745117,189429.147229548,0.654591806220759,0.0432288698012817,0.676455032440269,0,21535207.5153515,0.0037567381346415,TCD,CMR,1723632.8125,7621.5,15194623.8428827,0.000473988743232567,0.0890250554784866,0.126170290886618,1913061.95972955,7656.93359375,50779.578125,50.5074133210009,439546.034858986,0.00971611169202808,0.000864977382417971,FALSE,0.00529054453722302,113.657488337729,174.857674365736,7735.15748833773,7796.35767436574,11729107714.2137,0.0221597664204376,19815528259.1586,0.0413969876288167,0.0984789650417859,0.0312092084676267
47,114,113,32786.1444726081,41681.354440831,0.654496351773218,0.0286402803149732,0.676457333361989,0.000340144076083071,21535348.3377799,0.0044106799114374,CMR,CMR,0,0,15194731.2931351,0.00118115176870326,0.188953661352879,0.267793581130292,41681.354440831,7615.17626953125,4875.19873046875,21.0405905236614,456201.61199536,0.0499504780681757,0.00943832571730849,FALSE,0.0296944018927421,25.0088126644986,38.4750964069209,25.0088126644986,38.4750964069209,11727556246.1977,0.00892933273752838,19808909753.3955,0.00798255860829933,0.0831513652656829,0.0550667080605849
48,137,136,249986.309169802,317810.103184505,0.658348451320405,0.617368206583135,0.677691753412657,0.182823826134726,21579522.977481,0.209545918079956,CAF,COG,1743700.53125,8511.357,15206788.9623567,0.0805363664703851,0.27118644329222,0.384337558127259,2061510.63443451,21442.365234375,23712.462890625,12.8014349424862,444687.719733592,0.319292792818756,0.0865878768533581,FALSE,0.202940334836057,190.686061910703,293.363172170312,8702.0430619107,8804.72017217031,11737059609.9759,0.089971044801973,20166355279.1588,1.8125950461819,2.5404102715669,0.0746532423491147
49,180,136,330528.276213786,420203.914037342,0.656964004928462,0.405779112538762,0.677938920495012,0.219362408967516,21574940.0502183,0.188264026888296,CAF,COG,1743700.53125,8511.357,15204080.5744849,0.0627116362412528,0.235036838715556,0.333104721479594,2163904.44528734,5164.63671875,38701.4921875,16.1572643481079,381857.838661443,0.252661044035237,0.059384653056614,FALSE,0.156022848545925,252.122348422405,387.880536034469,8763.4793484224,8899.23753603447,11737346311.2995,0.0924159439610328,20160763760.9491,1.784365503892,2.20266231813176,0.0675388788537489
