city_port,population,city_country,IWI,N_IWI,wealth,gdp,SPAM_TOP80,SPAM_TOTAL,N_SPAM,ACLED_fatalities_sqrt,N_ACLED,gdp_other,iso3c,port_locode,port_name,port_status,outflows,lon,lat
TRUE,185490.928624373,port-gentil - GAB,69.2332287468298,10,12842135.8919131,618917223.439575,1417.74665767228,1510.17151710387,21,1.98590147425931,30,617395678.939184,GAB,GAPOG,Port Gentil,AI,148566.9,8.781525,-0.719322
TRUE,1114617.9205292,libreville - GAB,64.2533405221019,28,71617924.7997998,3452185958.74511,8477.79201875295,9195.67376317903,37,7.25150083052258,206,3443087480.00648,GAB,GALBV,Libreville,AI,414222.00003,9.45433,0.392626
FALSE,0,,23.1045476307667,10,0,86454556.7246202,80556.736135792,84600.7255679307,93,0,2,0,GAB,,,,,10.6900301,-1.61629
FALSE,0,,24.3959108720963,13,0,7615798.09447737,7096.25797416841,7667.1876092255,74,0.245976772651641,205,0,GAB,,,,,9.8881998,0.40386
FALSE,274251.248922742,kumba - CMR,53.2280580739407,47,14597861.4045104,961845160.783436,242301.901173858,265024.099834732,92,348.581672435412,1939,701803549.561662,CMR,,,,,9.4839201,4.6536598
FALSE,146202.236536265,loum - CMR,54.3337151641108,43,7943710.67631736,695733996.748284,292424.56927935,318019.802061869,93,95.3272291797776,1011,381900073.911364,CMR,,,,,9.7191801,4.7216001
FALSE,0,,50.0506598617938,34,0,0,0,0,0,137.403686129176,235,0,NGA,,,,,9.7883997,7.85706
TRUE,4139037.99484283,douala - CMR,66.7423419366737,212,276249089.140684,14195833215.2479,852526.959964806,930946.882023295,77,67.6425673042628,751,13280889984.4881,CMR,CMDLA,Douala,AI,1089387.80006,9.704361,4.048275
FALSE,84274,edea - CMR,56.9610281399214,45,4800333.68546373,1251338674.18262,950937.657841075,1034304.76910161,93,1.12043899155897,12,230779778.365202,CMR,,,,,10.10923,3.81478
TRUE,375069.860900754,bata - GNQ,61.9964934126871,43,23253016.1606311,1126847537.3171,8330.76364604701,10304.7285186079,55,10.6360076753286,3,1117906851.37642,GNQ,GQBSG,Bata,RQ,454067,9.765828,1.863912
TRUE,139726.879616139,kribi - CMR,59.9551486071238,38,8377345.8317953,429923405.094483,25322.07230478,34031.2083556712,46,0,18,402747421.539635,CMR,CMKBI,Kribi,AI,1338743.54556,9.907671,2.937265
FALSE,10291.0693602278,mengomeyen - GNQ,22.6469451153519,21,233061.282979359,71397402.2453409,56086.5229438623,90109.8713992151,89,0,0,11204602.5871825,GNQ,,,,,11.0017595,1.6778599
TRUE,1418331.53539011,bafoussam - CMR,54.3739600794063,97,77120302.2846648,4523206115.0996,759949.202476109,1095730.15325282,90,52.012616387937,418,3707618560.47785,CMR,"","","",,10.417639,5.477679
FALSE,0,,41.5794362588064,57,0,0,0,0,0,64.1138729558309,200,0,NGA,,,,,11.3106298,8.9040794
FALSE,0,,29.6515334612707,15,0,39396077.9288289,36708.5272856879,37858.9763393699,88,0,2,0,GAB,,,,,10.4113894,-0.24969
TRUE,0,Medounou - GAB,48.8168003043174,36,0,36185608.0879085,33717.0716395647,41929.8497265854,91,0,2,0,GNQ,"","","",,10.795319,1.016035
FALSE,0,,29.5695457544034,20,0,346342013.235364,322714.998838169,352532.884842941,82,0.411845541983393,6,0,CMR,,,,,10.1261997,3.4361398
FALSE,0,,34.6174379187322,22,0,6132176.34668423,5713.84702684284,7284.37675668659,93,0,1,0,CMR,,,,,10.5479898,2.8142998
FALSE,0,,36.9335943293525,26,0,158279150.04838,147481.546482949,161920.719273877,94,1.77903457514345,7,0,CMR,,,,,10.5248098,3.85636
TRUE,51548.4958707443,lambarene - GAB,44.2374644712455,26,2280374.7546282,148649378.974143,36356.7889349351,37947.1980094242,92,0,14,109630791.30443,GAB,"","","",,10.240261,-0.699501
FALSE,0,,23.8912930223913,9,0,9941110.85262965,9262.94083494954,9484.44764899184,92,0,1,0,GAB,,,,,10.9577293,-0.07846
FALSE,48967.9640912569,makenene - CMR,36.8861242034851,17,1806238.4054619,102889594.390011,14958.1428497742,18249.8878665965,87,1.56758848373625,8,86836317.2646705,CMR,,,,,10.8377495,4.7785001
FALSE,180715.137622366,foumban - CMR,36.8372368276155,43,6657046.32293021,500224475.737472,167890.01799204,244404.805960719,91,33.5924056794398,408,320042683.621129,CMR,,,,,10.90411,5.8210897
FALSE,0,,29.4140283733548,29,0,48781018.7875742,45453.2393407861,52319.600545927,91,0,1,0,CMR,,,,,10.8100796,4.4519897
FALSE,26579.7797320302,eseka - CMR,34.8036640028052,31,925073.72306215,140299092.626795,89288.3620287955,102731.078126604,91,0.600202694338549,4,44473639.2860014,CMR,,,,,10.8252296,3.87113
FALSE,0,,21.6106596636607,20,0,7280139.49741684,6783.49758235652,8732.64363429007,88,0,7,0,CMR,,,,,10.8318396,2.80825
TRUE,10269.4485091619,ndende - GAB,36.2647866328055,15,372419.359021339,55283087.3552136,34828.806609743,36437.8056576915,88,0,2,17904350.5650696,GAB,"","","",,11.358396,-2.40053
FALSE,0,,23.6235225190856,10,0,47412647.0216279,44178.2161672115,48439.5389459693,89,0,1,0,GAB,,,,,11.2579899,0.98871
FALSE,0,,50.5899155336298,40,0,63451572.8782141,59122.9867736474,70593.6871344521,92,0,5,0,GNQ,,,,,11.3172693,1.6293399
FALSE,26185.3621297611,monatele - CMR,29.1692612527964,29,763807.668962082,201283709.892559,153336.777607329,178511.496889558,89,0.484471067779696,2,36720648.2104551,CMR,,,,,11.0112896,4.2733197
FALSE,0,,34.421129552294,41,0,89998109.6773981,83858.5523848694,98277.0644090687,93,0.337538925855184,5,0,CMR,,,,,10.8997297,3.9534199
FALSE,71120.3027912351,ebolowa i - CMR,58.8825558567211,85,4187745.20165182,214005649.484844,11811.7618105141,15352.8249543313,90,0,7,201329110.185344,CMR,,,,,11.1500101,2.9010398
TRUE,5473116.69939264,yaounde - CMR,61.6783182312002,224,337572633.501636,16555614610.6218,304270.840938726,374803.766386964,93,39.5377859714356,233,16229067112.0583,CMR,"","","",,11.516925,3.866788
FALSE,0,,23.7314194544576,34,0,15282464.2109048,14239.9138181222,18361.901909869,93,0,6,0,CMR,,,,,11.0307493,2.5671699
TRUE,107018.126875407,bafia - CMR,56.2577741985226,60,6020601.61690549,549706495.894571,242506.684037893,284886.511517615,90,5.69389018543282,6,289445108.989419,CMR,"","","",,11.233892,4.750141
FALSE,0,,47.2132674231036,58,0,425999430.973614,396938.288218257,466732.20789169,93,19.3160628459546,234,0,CMR,,,,,11.5215797,4.1286998
FALSE,0,,23.5640458156064,25,0,26158017.5257364,24373.5506315549,27782.3991958235,52,25.0685038992968,306,0,NGA,,,,,11.2000599,6.5863299
FALSE,21092.3792361838,bankim - CMR,48.4903842992829,10,1022777.57494877,93703235.1668064,41494.462620741,55615.4520889018,90,1.27346081202811,12,49170828.015214,CMR,,,,,11.4886093,6.0801997
FALSE,0,,24.6084373628492,10,0,35012347.0330319,32623.8489709534,33764.1969571239,93,0,1,0,GAB,,,,,11.4499493,0.35482
TRUE,15925.5515698234,lastoursville - GAB,28.9219651239633,36,460598.247082311,30031407.8439154,7349.69363070915,7589.94899203023,91,0,5,22143619.2444167,GAB,"","","",,12.708589,-0.817882
